ID,duration,wav,wrd
F05_440C0204_CAF,7.34825,/et05_caf_simu/F05_440C0204_CAF.wav,R. L. I. CORPORATION A PEORIA ILLINOIS BASED INSURANCE HOLDING COMPANY WILL BEGIN TRADING FRIDAY ON THE BIG BOARD UNDER THE SYMBOL R. L. I.
F06_445C020Z_CAF,4.8800625,/et05_caf_simu/F06_445C020Z_CAF.wav,M. C. I. PLANS TO BEGIN OFFERING THE SERVICE AT THE END OF THIS MONTH
F05_444C020B_CAF,7.9241875,/et05_caf_simu/F05_444C020B_CAF.wav,MONDAY'S CRASH IS LIKELY TO AFFECT AT LEAST ONE OTHER PIECE OF PENDING LEGISLATION THE SWEEPING TRADE BILL THAT IS NOW THE SUBJECT OF A HOUSE SENATE CONFERENCE
M05_440C020M_CAF,5.0199375,/et05_caf_simu/M05_440C020M_CAF.wav,TEXACO HAS THREE CHOICES A COMPANY ADVISER SAYS
M06_446C0207_CAF,3.888125,/et05_caf_simu/M06_446C0207_CAF.wav,THAT DOESN'T MEAN MR. ICAHN HAS COMMITTED ANY WRONGDOING
M06_445C020K_CAF,6.4240625,/et05_caf_simu/M06_445C020K_CAF.wav,BUT TO THE SURPRISE OF ALMOST EVERYONE STOCK PRICES BEGAN A STEADY CLIMB THAT PUSHED THE AVERAGE ABOVE WEDNESDAY'S CLOSE
M06_443C020L_CAF,5.6321875,/et05_caf_simu/M06_443C020L_CAF.wav,WHEN ITS INITIAL PUBLIC OFFERING IS COMPLETED ASHLAND IS EXPECTED TO RETAIN A FORTY SIX PERCENT STAKE
M06_440C020N_CAF,6.9601875,/et05_caf_simu/M06_440C020N_CAF.wav,IT CAN SIGN ONTO THE PLAN FILE A COMPETING PLAN OR TAKE A COMPLETELY PASSIVE ROLE THAT NEITHER ENDORSES NOR OPPOSES A PLAN
F05_443C0205_CAF,6.612125,/et05_caf_simu/F05_443C0205_CAF.wav,M. I. C. C. SAID IT INTENDS TO PAY THE DIVIDEND ARREARS ON JULY THIRTY FIRST TO STOCK OF RECORD JULY SECOND
F06_442C0213_CAF,1.5364375,/et05_caf_simu/F06_442C0213_CAF.wav,THAT'S FINE
