ID,duration,wav,wrd
F01_420C020U_BUS,7.61575,/dt05_bus_real/F01_420C020U_BUS.wav,THE MINNEAPOLIS MINNESOTA BASED COMPANY SAID THE OFFERING WILL BEGIN IN SEPTEMBER BUT IT HASN'T SET A RECORD DATE OR PRICE
F01_051C010R_BUS,8.3596875,/dt05_bus_real/F01_051C010R_BUS.wav,THE ECONOMIC PLANNING BOARD WHICH ANNOUNCED THE MEASURES SAID THE GOVERNMENT'S GOAL IS TO HOLD INFLATION BELOW FIVE PERCENT THIS YEAR
F04_053C010V_BUS,5.2760625,/dt05_bus_real/F04_053C010V_BUS.wav,LAST FRIDAY THE DOW JONES INDUSTRIAL AVERAGE POSTED ITS THIRD BIGGEST POINT DECLINE EVER
F01_051C010H_BUS,3.9519375,/dt05_bus_real/F01_051C010H_BUS.wav,THE POLICY NEEDED FOR THIS WILL BE FURTHER DEVELOPED
F04_053C010K_BUS,5.5235625,/dt05_bus_real/F04_053C010K_BUS.wav,IN A STATEMENT R. L. R. SAID THE BROKERAGE UNIT GENERATED SUBSTANTIALLY ALL OF ITS REVENUE
F01_422C020Q_BUS,9.535625,/dt05_bus_real/F01_422C020Q_BUS.wav,A COMPANY SPOKESMAN SAID THAT AFTER THE SPLIT THE QUARTERLY DIVIDEND WILL BE REDUCED TO TEN CENTS A SHARE CONTINUING THE CURRENT CASH PAY OUT RATE
M04_422C020E_BUS,3.9555,/dt05_bus_real/M04_422C020E_BUS.wav,THE TREND IS INEVITABLE UNLESS THE GOVERNMENT HAS AUTHORITY OVER THE WHOLE WORLD
F04_053C010A_BUS,6.6836875,/dt05_bus_real/F04_053C010A_BUS.wav,AND THE IDEA OF LETTING EMPLOYERS PRE FUND POST RETIREMENT MEDICAL EXPENSES IS SURELY BETTER THAN HAVING GOVERNMENT DO IT
F04_423C020W_BUS,4.244,/dt05_bus_real/F04_423C020W_BUS.wav,AND HIGHER INTEREST RATES ATTRACT FOREIGN INVESTORS PUSHING UP THE DOLLAR
M04_422C020O_BUS,5.3755625,/dt05_bus_real/M04_422C020O_BUS.wav,LA Z. BOY'S STOCK SPLIT IS PAYABLE SEPTEMBER FOURTEENTH TO STOCK OF RECORD ON AUGUST NINETEENTH
F04_420C0209_BUS,7.37975,/dt05_bus_real/F04_420C0209_BUS.wav,THE DEPARTMENT SAID THE DECLINE IN FACTORY JOBS WAS CONCENTRATED IN MOTOR VEHICLES AND ELECTRICAL AND ELECTRONIC EQUIPMENT
M04_422C020A_BUS,1.9839375,/dt05_bus_real/M04_422C020A_BUS.wav,I'M A GOOD WORKER
M03_051C010U_BUS,4.29175,/dt05_bus_real/M03_051C010U_BUS.wav,PRICES OF MUNICIPAL BONDS GAINED AS MUCH AS THREE EIGHTHS POINT
M03_421C0213_BUS,2.9321875,/dt05_bus_real/M03_421C0213_BUS.wav,THE HOSPITAL INDUSTRY IS GOVERNMENT FUNDED
M03_22HC010J_BUS,2.16375,/dt05_bus_real/M03_22HC010J_BUS.wav,THE OFFER EXPIRES FRIDAY
F04_420C020B_BUS,7.187625,/dt05_bus_real/F04_420C020B_BUS.wav,MINING EMPLOYMENT WHICH INCLUDES THE OIL AND GAS EXTRACTION INDUSTRY ROSE THREE THOUSAND AFTER A ONE THOUSAND JOB RISE
F04_053C010U_BUS,6.8838125,/dt05_bus_real/F04_053C010U_BUS.wav,ALSO INDIVIDUAL INVESTORS' CONCERN OVER VOLATILITY IN FINANCIAL MARKETS MAY HAVE CONTRIBUTED TO THE INCREASE SHE SAID
M03_22GC010B_BUS,10.3398125,/dt05_bus_real/M03_22GC010B_BUS.wav,THE OFFERING WILL COMPRISE SEVEN HUNDRED SIXTY SEVEN MILLION DOLLARS OF BONDS DUE NOVEMBER SECOND AND SIX HUNDRED THIRTY EIGHT MILLION DOLLARS OF BONDS MATURING NEXT FEBRUARY FIRST
F04_22HC0112_BUS,5.3558125,/dt05_bus_real/F04_22HC0112_BUS.wav,THE THING THAT MOTIVATES WALL STREET IS SHORT TERM EARNINGS RESULTS AND THEY'RE JUST NOT THERE HE SAYS
M03_051C0103_BUS,2.5559375,/dt05_bus_real/M03_051C0103_BUS.wav,WHAT ABOUT IN SOUTH AFRICA ITSELF
F04_422C020I_BUS,4.65975,/dt05_bus_real/F04_422C020I_BUS.wav,TRADERS SAID THE REASON BEHIND THE FIRST HOUR FOCUS IS THE ACTION IN THE DOLLAR
M03_423C0202_BUS,4.755625,/dt05_bus_real/M03_423C0202_BUS.wav,PAYMENTS CHARGED AS LATE AS APRIL FIFTEENTH WOULD MEET THE I. R. S. DEADLINE
F01_053C010D_BUS,8.82375,/dt05_bus_real/F01_053C010D_BUS.wav,THE YIELD ON THE LATEST THIRTY YEAR TREASURY BONDS SURGED TO EIGHT POINT EIGHT THREE PERCENT FROM EIGHT POINT FIVE SIX PERCENT A WEEK EARLIER
F04_052C010Y_BUS,2.04375,/dt05_bus_real/F04_052C010Y_BUS.wav,WHAT IS WRONG WITH THIS PICTURE
M03_052C010V_BUS,7.1476875,/dt05_bus_real/M03_052C010V_BUS.wav,THE FOREST PRODUCTS CONCERN SAID THE WORKERS AT THE AFFECTED PLANTS RETURNED TO WORK YESTERDAY ENDING A TWO MONTH STRIKE
M04_22GC0112_BUS,8.00775,/dt05_bus_real/M04_22GC0112_BUS.wav,THE DISCOUNT RATE ON THE THREE MONTH TREASURY BILL FELL AS LOW AS SEVEN POINT SIX FOUR PERCENT BUT WAS QUOTED LATE FRIDAY AT SEVEN POINT EIGHT SIX PERCENT
F04_423C0207_BUS,6.37175,/dt05_bus_real/F04_423C0207_BUS.wav,REPRESENTATIVES FOR THE TWO IMPORTERS SAID THE PROGRAMS HAVE ENDED AND NEW INCENTIVES HAVEN'T BEEN ANNOUNCED
M04_423C0208_BUS,3.63175,/dt05_bus_real/M04_423C0208_BUS.wav,PEOPLE DON'T VOTE PRIMARILY ON THE BASIS OF ISSUES HE SAYS
F01_050C010C_BUS,5.5358125,/dt05_bus_real/F01_050C010C_BUS.wav,OTHERS INCLUDE A JOINT VENTURE WITH ANOTHER COMPANY OR AN EMPLOYEE BUY OUT
M04_421C020L_BUS,6.42375,/dt05_bus_real/M04_421C020L_BUS.wav,THE GOVERNMENT PREDICTS SPENDING FOR PLANT AND MACHINERY WILL GROW TWENTY FIVE PERCENT THIS YEAR UP FROM NINE POINT EIGHT PERCENT LAST YEAR
M04_22GC010V_BUS,6.88775,/dt05_bus_real/M04_22GC010V_BUS.wav,THE LOGIC APPARENTLY IS THAT WE'LL HAVE TO RAISE OUR RATES TO DEFEND THE DOLLAR SAID PETER CANELO A PORTFOLIO STRATEGIST AT BEAR STEARNS
F04_052C010P_BUS,6.9798125,/dt05_bus_real/F04_052C010P_BUS.wav,LAST NOVEMBER ALFRED A. KNOPF INCORPORATED THE BOOK PUBLISHER NAMED MS. AMSTERDAM A SENIOR EDITOR
M04_053C010T_BUS,7.42375,/dt05_bus_real/M04_053C010T_BUS.wav,INSTITUTIONAL INVESTORS FUELED THE RISE BY SHIFTING ASSETS TO THE FUNDS IN RESPONSE TO DECLINING RATES AVAILABLE ON SHORT TERM SECURITIES IN THE MARKET
M04_053C010L_BUS,4.248,/dt05_bus_real/M04_053C010L_BUS.wav,IT SAID IT IS NEGOTIATING THE SALE OF CERTAIN ASSETS OF THE BROKERAGE UNIT
M04_053C010R_BUS,7.60775,/dt05_bus_real/M04_053C010R_BUS.wav,ONE OF THE FEW AREAS OF STRONG GROWTH EARLIER IN NINETEEN EIGHTY SEVEN WAS THE NEW ISSUE MARKET FOR INTERNATIONAL EQUITIES AND EQUITY RELATED BONDS
F01_050C010L_BUS,5.9436875,/dt05_bus_real/F01_050C010L_BUS.wav,THE BELL COMPANIES ARE HOPING ELECTRONIC MAIL AND VOICE MAIL WILL BECOME A MAJOR REVENUE SOURCE
M04_22GC010J_BUS,4.295875,/dt05_bus_real/M04_22GC010J_BUS.wav,ALL OF A SUDDEN THEY CAME BACK AND SAID WE AREN'T BUYING AT THIS YIELD
M04_052C010U_BUS,4.719875,/dt05_bus_real/M04_052C010U_BUS.wav,HE EXPECTS THE JAPANESE AGENT TO SELL IT FOR TWO HUNDRED SEVENTY FIVE THOUSAND DOLLARS
M04_22GC0114_BUS,5.7516875,/dt05_bus_real/M04_22GC0114_BUS.wav,THE GOVERNMENT IS EXPECTED TO SELL ABOUT TWENTY NINE POINT FIVE BILLION DOLLARS OF NEW NOTES AND BONDS STARTING TOMORROW
F04_422C0207_BUS,2.94,/dt05_bus_real/F04_422C0207_BUS.wav,FRONTIER SAVINGS IS BASED IN LAS VEGAS
