ID,duration,wav,wrd
M06_444C020V_BUS,7.7120625,/et05_bus_real/M06_444C020V_BUS.wav,AS PART OF THE MARKETING PLAN THE COMPANY WILL BEGIN AIRING TELEVISION COMMERCIALS DURING PRIME TIME ON ELECTION NIGHT NEXT TUESDAY
M05_443C020A_BUS,8.52775,/et05_bus_real/M05_443C020A_BUS.wav,IN THE EFFORTS TO RESTORE MARKET CONFIDENCE ADMINISTRATION OFFICIALS HAVE EMPHASIZED THAT THE ECONOMY'S FUNDAMENTALS REMAIN SOUND
M06_440C020U_BUS,8.840125,/et05_bus_real/M06_440C020U_BUS.wav,THE RATE ON THE LATEST THREE MONTH BILLS DECLINED TO SIX POINT FOUR THREE PERCENT BID FROM AN AVERAGE OF SIX POINT FIVE THREE PERCENT SET AT TUESDAY'S AUCTION
F05_447C020Y_BUS,6.088,/et05_bus_real/F05_447C020Y_BUS.wav,INCREASINGLY PEOPLE WHO TEST POSITIVE JOIN THE SUPPORT GROUPS THAT HAVE SPRUNG UP ACROSS THE COUNTRY IN THE PAST YEAR
M06_440C020W_BUS,3.7999375,/et05_bus_real/M06_440C020W_BUS.wav,DURABLE GOODS REPORTS FREQUENTLY ARE HIGHLY VOLATILE FROM MONTH TO MONTH
M05_442C020B_BUS,7.5998125,/et05_bus_real/M05_442C020B_BUS.wav,SHAMROCK'S PRETAX PROFIT FROM THE SALE WAS ONE HUNDRED TWENTY FIVE MILLION DOLLARS A SPOKESWOMAN SAID
M06_443C0212_BUS,2.8479375,/et05_bus_real/M06_443C0212_BUS.wav,YESTERDAY'S LOSERS INCLUDED AUTOMOBILES
F05_445C020P_BUS,4.047875,/et05_bus_real/F05_445C020P_BUS.wav,ABOUT ALL THE BUSINESSMAN CAN COUNT ON IS THAT POLICY WILL BE PRETTY VOLATILE
F05_446C020S_BUS,6.207875,/et05_bus_real/F05_446C020S_BUS.wav,AMONG MEN FORTY ONE PERCENT SUPPORTED BOOSTING THE SPACE EXPLORATION BUDGET COMPARED WITH NINETEEN PERCENT OF WOMEN
F05_445C0208_BUS,3.0241875,/et05_bus_real/F05_445C0208_BUS.wav,THEIR BUSINESS ISN'T JUST A JOB BUT THEIR INVESTMENT
F06_442C020V_BUS,4.8401875,/et05_bus_real/F06_442C020V_BUS.wav,UTILITY ANALYSTS HOWEVER EXPECT THE AGREEMENT TO BE COMPLETED WITHOUT MUCH DIFFICULTY
M06_445C0206_BUS,2.911875,/et05_bus_real/M06_445C0206_BUS.wav,WE'RE NOT PREPARED TO BE ADVOCATES FOR THE K. G. B.
F06_445C020C_BUS,5.3360625,/et05_bus_real/F06_445C020C_BUS.wav,TESTIMONY CONCLUDED THIS WEEK CLOSING ARGUMENTS ARE SCHEDULED TO BEGIN MONDAY
M06_445C020S_BUS,3.2960625,/et05_bus_real/M06_445C020S_BUS.wav,LATELY COMPUTER RETAILING HAS BEEN TOUGH ON EVERYBODY
M05_442C0204_BUS,8.88,/et05_bus_real/M05_442C0204_BUS.wav,M. I. C. C. INVESTMENTS HAS THREE SERIES OF PUBLICLY TRADED PREFERRED SHARES AND TEN SERIES OF PRIVATELY HELD PREFERRED STOCK
F06_446C0204_BUS,6.088,/et05_bus_real/F06_446C0204_BUS.wav,THE CONSENSUS WAS THAT A NEW PIECE OF PAPER ISN'T REQUIRED SAID ONE U. S. DIPLOMAT
F06_446C0205_BUS,3.408125,/et05_bus_real/F06_446C0205_BUS.wav,NO ONE AT THE STATE DEPARTMENT WANTS TO LET SPIES IN
M06_445C020E_BUS,7.8560625,/et05_bus_real/M06_445C020E_BUS.wav,THE COMPANY WHICH RUNS RETAIL AUTOMOTIVE STORES TOLD SHEARSON LEHMAN BROTHERS ITS FINANCIAL ADVISER TO TERMINATE DISCUSSIONS TO SELL THE FIRM
M06_444C020T_BUS,4.3041875,/et05_bus_real/M06_444C020T_BUS.wav,THE MARKET'S STRENGTH MAY SHOW THAT DEMAND ISN'T ALL A CREATION OF INCENTIVES
M06_444C0205_BUS,7.9680625,/et05_bus_real/M06_444C0205_BUS.wav,THE ISSUE WAS PRICED AFTER AUCTION TO YIELD FROM THREE POINT FIVE PERCENT IN NINETEEN EIGHTY SEVEN TO FIVE POINT FIVE PERCENT IN NINETEEN NINETY SEVEN
F05_440C0204_BUS,7.80775,/et05_bus_real/F05_440C0204_BUS.wav,R. L. I. CORPORATION A PEORIA ILLINOIS BASED INSURANCE HOLDING COMPANY WILL BEGIN TRADING FRIDAY ON THE BIG BOARD UNDER THE SYMBOL R. L. I.
M06_442C020C_BUS,6.964125,/et05_bus_real/M06_442C020C_BUS.wav,SHAMROCK HAS INTERESTS IN TELEVISION AND RADIO STATIONS ENERGY SERVICES REAL ESTATE AND VENTURE CAPITAL
M06_440C020V_BUS,6.6641875,/et05_bus_real/M06_440C020V_BUS.wav,THE RATE ON SIX MONTH BILLS FELL TO SIX POINT SEVEN THREE PERCENT FROM SIX POINT EIGHT THREE PERCENT
F06_442C020Q_BUS,10.752125,/et05_bus_real/F06_442C020Q_BUS.wav,IN A DUTCH AUCTION HOLDERS TENDER THEIR SHARES AT PRICES WITHIN A STATED RANGE IN THIS CASE BETWEEN TWENTY EIGHT DOLLARS AND THIRTY THREE DOLLARS A SHARE
M05_442C020R_BUS,9.3356875,/et05_bus_real/M05_442C020R_BUS.wav,THE COMPANY THEN ACCEPTS THE SHARES TENDERED AT THE LOWEST PRICE NEEDED TO REACH ITS TOTAL THEN PAYS THAT AMOUNT FOR ALL SHARES IT PURCHASES
M05_447C0203_BUS,3.2318125,/et05_bus_real/M05_447C0203_BUS.wav,AND I'M SURE YOU HAVE YOUR OWN LIST
F06_442C0202_BUS,5.3360625,/et05_bus_real/F06_442C0202_BUS.wav,ACCEPTED BIDS RANGED FROM SIX POINT TWO PERCENT TO SIX POINT TWO TWO FIVE PERCENT
M06_445C020F_BUS,4.19225,/et05_bus_real/M06_445C020F_BUS.wav,IT RECEIVED NO PROPOSALS THAT WERE IN THE BEST INTEREST OF THE SHAREHOLDERS THE COMPANY SAID
M06_443C020H_BUS,5.31225,/et05_bus_real/M06_443C020H_BUS.wav,THOSE IDENTIFIED AS BENEFICIAL OWNERS HOLD AT LEAST TEN PERCENT OF A COMPANY'S EQUITY SECURITIES
F05_445C020I_BUS,3.3919375,/et05_bus_real/F05_445C020I_BUS.wav,THE AIRLINE IMPOSED THE CONTRACT WITHOUT UNION BARGAINING
M06_442C020U_BUS,6.75225,/et05_bus_real/M06_442C020U_BUS.wav,THE ONE HUNDRED SHARE INDEX CLOSED SIX POINT EIGHT POINTS LOWER AT ONE THOUSAND SEVEN HUNDRED FIFTY NINE POINT NINE
M05_445C0216_BUS,4.839875,/et05_bus_real/M05_445C0216_BUS.wav,WHERE ELSE IN THE THIRD WORLD IS THERE SO MUCH ENERGY AND PROGRESS AS CHINA
M05_446C020F_BUS,8.159875,/et05_bus_real/M05_446C020F_BUS.wav,UNDER THE PROPOSED TRANSACTION THE LOS ANGELES GROUP WOULD ACQUIRE THE K. H. J. LICENSE AND THEN SELL ITSELF TO DISNEY
M05_441C0211_BUS,10.58375,/et05_bus_real/M05_441C0211_BUS.wav,AT THE CLOSE THE FINANCIAL TIMES THIRTY SHARE INDEX WAS THREE POINT NINE POINTS LOWER AT ONE THOUSAND FOUR HUNDRED EIGHTEEN POINT SIX
F05_440C020O_BUS,5.4800625,/et05_bus_real/F05_440C020O_BUS.wav,UNABLE TO AGREE ON FRIDAY THE BOARD MUST MEET AGAIN AT LEAST BY PHONE TO REGISTER ITS CHOICE
F06_447C0213_BUS,3.512,/et05_bus_real/F06_447C0213_BUS.wav,WE HAD TO SUSTAIN SOME MODEST OPERATING LOSSES
F05_444C020Y_BUS,6.5998125,/et05_bus_real/F05_444C020Y_BUS.wav,VOLUME WAS EIGHTEEN MILLION ONE HUNDRED NINETY THOUSAND SHARES COMPARED WITH TEN MILLION FIVE HUNDRED FIFTY THOUSAND MONDAY
M06_446C020Q_BUS,5.4239375,/et05_bus_real/M06_446C020Q_BUS.wav,THERE WAS A STRIKING SPLIT BETWEEN THE SEXES WITH MEN MORE LIKELY THAN WOMEN TO FAVOR SPACE PROGRAMS
F06_444C020N_BUS,1.27175,/et05_bus_real/F06_444C020N_BUS.wav,WE DIDN'T LIKE THAT
M05_440C020M_BUS,4.1319375,/et05_bus_real/M05_440C020M_BUS.wav,TEXACO HAS THREE CHOICES A COMPANY ADVISER SAYS
F06_447C020J_BUS,7.400375,/et05_bus_real/F06_447C020J_BUS.wav,IN THE EFFORTS TO RESTORE MARKET CONFIDENCE ADMINISTRATION OFFICIALS HAVE EMPHASIZED THAT THE ECONOMY'S FUNDAMENTALS REMAIN SOUND
M05_447C020D_BUS,2.9360625,/et05_bus_real/M05_447C020D_BUS.wav,I WILL TELL YOU WHAT I THINK IN MY OFFICE
M05_441C0206_BUS,4.303875,/et05_bus_real/M05_441C0206_BUS.wav,IN EUROPE AN AMERICAN CAN AT LEAST READ STREET SIGNS
F05_443C020I_BUS,6.535625,/et05_bus_real/F05_443C020I_BUS.wav,UNLESS OTHERWISE NOTED CHANGES INVOLVED DIRECT HOLDINGS OF COMMON STOCK AND TOOK PLACE IN SEPTEMBER AND OCTOBER OF NINETEEN EIGHTY SEVEN
F06_447C020N_BUS,5.660125,/et05_bus_real/F06_447C020N_BUS.wav,IT HAD SALES OF NINETY ONE POINT FIVE MILLION DOLLARS IN THE NINETEEN EIGHTY SIX THIRD QUARTER
F06_442C0213_BUS,1.4878125,/et05_bus_real/F06_442C0213_BUS.wav,THAT'S FINE
M06_441C020A_BUS,5.09625,/et05_bus_real/M06_441C020A_BUS.wav,IF DEFENSE IS EXCLUDED MARCH ORDERS ROSE ONE PERCENT AFTER A THREE PERCENT INCREASE IN FEBRUARY
F06_444C020Q_BUS,8.3360625,/et05_bus_real/F06_444C020Q_BUS.wav,THE OFFERS INDICATE A TOTAL PRICE FOR THE COMPANY EXCEEDING EIGHT HUNDRED MILLION DOLLARS BASED ON SEVENTEEN POINT TWO MILLION SHARES OUTSTANDING
M06_442C020J_BUS,10.9681875,/et05_bus_real/M06_442C020J_BUS.wav,ACCORDING TO THE AVERAGE ESTIMATE OF SEVEN ECONOMISTS SURVEYED BY DOW JONES CAPITAL MARKETS REPORT NEW ORDERS FOR U. S. DURABLE GOODS ROSE TWO POINT FOUR PERCENT LAST MONTH
F05_444C020B_BUS,7.55975,/et05_bus_real/F05_444C020B_BUS.wav,MONDAY'S CRASH IS LIKELY TO AFFECT AT LEAST ONE OTHER PIECE OF PENDING LEGISLATION THE SWEEPING TRADE BILL THAT IS NOW THE SUBJECT OF A HOUSE SENATE CONFERENCE
F06_445C020Z_BUS,4.343875,/et05_bus_real/F06_445C020Z_BUS.wav,M. C. I. PLANS TO BEGIN OFFERING THE SERVICE AT THE END OF THIS MONTH
F06_441C020R_BUS,5.984,/et05_bus_real/F06_441C020R_BUS.wav,TOO MUCH FOCUS IS PLACED ON REDUCTION OF CROSS COUNTRY LOANS MR. MEYERMAN SAID
M06_447C0207_BUS,7.4640625,/et05_bus_real/M06_447C0207_BUS.wav,WASHINGTON NATIONAL PAID NINETEEN DOLLARS A SHARE FOR THE TWO POINT SIX MILLION UNITED PRESIDENTIAL SHARES IT DIDN'T ALREADY OWN
