ID,duration,wav,wrd
M05_447C020N_CAF,7.0598125,/et05_caf_real/M05_447C020N_CAF.wav,IT HAD SALES OF NINETY ONE POINT FIVE MILLION DOLLARS IN THE NINETEEN EIGHTY SIX THIRD QUARTER
F05_443C0205_CAF,5.679875,/et05_caf_real/F05_443C0205_CAF.wav,M. I. C. C. SAID IT INTENDS TO PAY THE DIVIDEND ARREARS ON JULY THIRTY FIRST TO STOCK OF RECORD JULY SECOND
F06_443C0212_CAF,3.4200625,/et05_caf_real/F06_443C0212_CAF.wav,YESTERDAY'S LOSERS INCLUDED AUTOMOBILES
M06_444C020C_CAF,7.3676875,/et05_caf_real/M06_444C020C_CAF.wav,SENATE FINANCE CHAIRMAN LLOYD BENTSEN D. TEXAS SAID HE WOULD SPEED UP WORK ON THE PACKAGE BECAUSE OF THE CRASH
M05_441C020U_CAF,1.9485,/et05_caf_real/M05_441C020U_CAF.wav,OUR GUESS IS NO
M06_447C020S_CAF,5.3996875,/et05_caf_real/M06_447C020S_CAF.wav,BUT WHILE THE FED STANDS PAT IT IS COMING UNDER INCREASING ATTACK FROM BOTH SIDES
M05_441C020B_CAF,6.068125,/et05_caf_real/M05_441C020B_CAF.wav,GRAND AUTO SLID THREE TO FIFTEEN AND ONE EIGHTH ON THE AMERICAN STOCK EXCHANGE
F06_445C020L_CAF,7.332125,/et05_caf_real/F06_445C020L_CAF.wav,ALTHOUGH THOSE GAINS ERODED DURING THE AFTERNOON STOCK PRICES STAYED WITHIN A NARROW RANGE UNTIL THE LAST HALF HOUR OF TRADING
F05_445C020Z_CAF,3.5923125,/et05_caf_real/F05_445C020Z_CAF.wav,M. C. I. PLANS TO BEGIN OFFERING THE SERVICE AT THE END OF THIS MONTH
M06_445C0213_CAF,1.9675,/et05_caf_real/M06_445C0213_CAF.wav,FROM AMERICA CHINA LOOKED GOOD
F06_442C0203_CAF,4.8680625,/et05_caf_real/F06_442C0203_CAF.wav,THE BANK HOLDING COMPANY SLATED ANOTHER FIFTY MILLION DOLLAR SALE NEXT TUESDAY
M05_444C0204_CAF,8.08425,/et05_caf_real/M05_444C0204_CAF.wav,SEPARATELY NEW YORK STATE SOLD ABOUT SEVENTY SEVEN POINT ONE MILLION DOLLARS OF CERTIFICATES OF PARTICIPATION
M06_441C0212_CAF,7.9798125,/et05_caf_real/M06_441C0212_CAF.wav,VOLUME WAS MODEST AS THREE HUNDRED TWENTY SIX POINT SEVEN MILLION SHARES CHANGED HANDS COMPARED WITH THREE HUNDRED NINETY SIX POINT FIVE MILLION FRIDAY
F06_440C020U_CAF,10.4041875,/et05_caf_real/F06_440C020U_CAF.wav,THE RATE ON THE LATEST THREE MONTH BILLS DECLINED TO SIX POINT FOUR THREE PERCENT BID FROM AN AVERAGE OF SIX POINT FIVE THREE PERCENT SET AT TUESDAY'S AUCTION
F06_446C0205_CAF,3.316125,/et05_caf_real/F06_446C0205_CAF.wav,NO ONE AT THE STATE DEPARTMENT WANTS TO LET SPIES IN
M06_445C020O_CAF,1.551875,/et05_caf_real/M06_445C020O_CAF.wav,A LENGTHY FIGHT IS LIKELY
M06_441C020N_CAF,5.6480625,/et05_caf_real/M06_441C020N_CAF.wav,COMPANIES ARE LISTED WHERE TRANSACTIONS GENERALLY AGGREGATE TEN THOUSAND SHARES OR ONE HUNDRED THOUSAND DOLLARS
M05_440C020J_CAF,8.659625,/et05_caf_real/M05_440C020J_CAF.wav,THE INDEPENDENT COMMITTEE WILL RECOMMEND THAT HOLDERS ACCEPT THE OFFER AT A MEETING EXPECTED TO BE HELD IN DECEMBER T. W. A. SAID
M05_445C0205_CAF,4.0036875,/et05_caf_real/M05_445C0205_CAF.wav,NO ONE AT THE STATE DEPARTMENT WANTS TO LET SPIES IN
F06_443C020C_CAF,6.748,/et05_caf_real/F06_443C020C_CAF.wav,EMPLOYMENT LOOKED STRONG INFLATION WAS LOW AND CONSUMER SPENDING AND INVESTMENT WERE HOLDING UP REASONABLY WELL
F05_441C020E_CAF,5.335875,/et05_caf_real/F05_441C020E_CAF.wav,ELDERS BREWING WILL BE BASED OUTSIDE AUSTRALIA BECAUSE SEVENTY PERCENT OF ITS ASSETS ARE IN BRITAIN AND CANADA
M06_440C0209_CAF,2.96,/et05_caf_real/M06_440C0209_CAF.wav,A P. B. G. C. SPOKESWOMAN DECLINED COMMENT
F05_443C0214_CAF,6.9999375,/et05_caf_real/F05_443C0214_CAF.wav,NISSAN LOST THIRTY TO ONE THOUSAND FIVE HUNDRED TWENTY AND TOYOTA WAS DOWN THIRTY TO END THE DAY AT TWO THOUSAND SIX HUNDRED TWENTY
M05_442C0204_CAF,9.64375,/et05_caf_real/M05_442C0204_CAF.wav,M. I. C. C. INVESTMENTS HAS THREE SERIES OF PUBLICLY TRADED PREFERRED SHARES AND TEN SERIES OF PRIVATELY HELD PREFERRED STOCK
M06_445C0206_CAF,2.804,/et05_caf_real/M06_445C0206_CAF.wav,WE'RE NOT PREPARED TO BE ADVOCATES FOR THE K. G. B.
F05_447C020V_CAF,5.2079375,/et05_caf_real/F05_447C020V_CAF.wav,MANHATTAN INDUSTRIES CONTINUED TO TRADE ABOVE THE OFFER PRICE YESTERDAY INDICATING THE MARKET EXPECTS A HIGHER BID
M06_440C020G_CAF,2.799875,/et05_caf_real/M06_440C020G_CAF.wav,ANALYSTS TOO GENERALLY PLAYED DOWN THE EFFECT ON BANKS
M05_444C020Q_CAF,9.64775,/et05_caf_real/M05_444C020Q_CAF.wav,THE OFFERS INDICATE A TOTAL PRICE FOR THE COMPANY EXCEEDING EIGHT HUNDRED MILLION DOLLARS BASED ON SEVENTEEN POINT TWO MILLION SHARES OUTSTANDING
F05_443C020V_CAF,3.224,/et05_caf_real/F05_443C020V_CAF.wav,IN CERTAIN CASES THE CARDS ARE GIVEN FREE TO SUBSCRIBERS
M06_447C020H_CAF,4.867875,/et05_caf_real/M06_447C020H_CAF.wav,THE TORONTO BASED GOLD MINING CONCERN SAID PROCEEDS WOULD BE USED FOR GENERAL PURPOSES
M06_442C020J_CAF,9.18375,/et05_caf_real/M06_442C020J_CAF.wav,ACCORDING TO THE AVERAGE ESTIMATE OF SEVEN ECONOMISTS SURVEYED BY DOW JONES CAPITAL MARKETS REPORT NEW ORDERS FOR U. S. DURABLE GOODS ROSE TWO POINT FOUR PERCENT LAST MONTH
F05_441C020W_CAF,5.7039375,/et05_caf_real/F05_441C020W_CAF.wav,ALTHOUGH CLOSED END FUNDS HAVE BEEN AROUND SINCE AT LEAST THE NINETEEN TWENTIES THEY HAVE BOOMED IN POPULARITY THIS YEAR
F06_443C0208_CAF,7.34825,/et05_caf_real/F06_443C0208_CAF.wav,LOCAL MEMBERSHIP JUMPED TWENTY TWO PERCENT BUT THE UNION HAS ALREADY LOST TWENTY EIGHT OF THE SEVENTY THREE NEW MEMBERS
F06_441C020V_CAF,7.4359375,/et05_caf_real/F06_441C020V_CAF.wav,CLOSED END FUNDS ARE TRADED ON EXCHANGES LIKE STOCKS BUT INVEST IN A WIDE PORTFOLIO OF OTHER SECURITIES
M06_444C020D_CAF,3.6238125,/et05_caf_real/M06_444C020D_CAF.wav,IT ADDS TO THE SUPPORT FOR THE TRADE BILL GETTING THROUGH HE SAID
M06_442C020P_CAF,8.1118125,/et05_caf_real/M06_442C020P_CAF.wav,THE COMPANY SAID IT WOULD BEGIN A DUTCH AUCTION LATER THIS WEEK FOR AS MANY AS FORTY MILLION SHARES OR TWENTY SIX PERCENT OF ITS SHARES OUTSTANDING
F05_444C0212_CAF,6.442,/et05_caf_real/F05_444C0212_CAF.wav,REALIZED CAPITAL GAINS INCREASED FORTY TWO PERCENT TO NINE HUNDRED NINE MILLION DOLLARS FROM SIX HUNDRED FORTY POINT NINE MILLION DOLLARS
