ID,duration,wav,wrd
M03_053C0108_CAF,2.190625,/dt05_caf_real/M03_053C0108_CAF.wav,TASK FORCE REPORT ISN'T ALL BAD
F04_420C0207_CAF,7.4595625,/dt05_caf_real/F04_420C0207_CAF.wav,BUT THOSE CHARGES AREN'T REQUIRED TO BE MADE UNTIL THE NINETEEN EIGHTY EIGHT FIRST QUARTER OR UNDER CERTAIN CIRCUMSTANCES EVEN LATER
M04_421C020U_CAF,4.0679375,/dt05_caf_real/M04_421C020U_CAF.wav,STOCKS FELL IN NERVOUS TRADING WHILE BONDS WERE NARROWLY MIXED
F01_052C010L_CAF,8.1275625,/dt05_caf_real/F01_052C010L_CAF.wav,IT SAID IT PUT THREE KEY EXECUTIVES IN CHARGE OF THE GROUPS TO FOCUS EFFORTS ON INCREASING SALES PRODUCTIVITY IN THE U. S.
F04_051C0102_CAF,2.235875,/dt05_caf_real/F04_051C0102_CAF.wav,AT LEAST IN THE U. S. THEY WERE
M03_421C020I_CAF,5.6115,/dt05_caf_real/M03_421C020I_CAF.wav,SOME LOCAL MANUFACTURERS HAVE AVOIDED THE TIGHT LABOR MARKET BY CONTRACTING WORK TO FACTORIES IN CHINA
F04_050C010Z_CAF,5.1319375,/dt05_caf_real/F04_050C010Z_CAF.wav,THESE GENERALLY REACT MUCH LESS THAN LARGE DEPOSITORS TO REPORTS OF A SCANDAL
M04_050C0116_CAF,2.6679375,/dt05_caf_real/M04_050C0116_CAF.wav,I PREFER NOT TO SAY ANYTHING MORE THAN THAT
F04_051C010I_CAF,7.420125,/dt05_caf_real/F04_051C010I_CAF.wav,YESTERDAY'S ACTION DIDN'T AFFECT A FOURTH L. T. V. PLAN THE PENSION AGENCY TOOK OVER IN SEPTEMBER NINETEEN EIGHTY SIX
F01_423C020Z_CAF,7.615125,/dt05_caf_real/F01_423C020Z_CAF.wav,OUR EARNINGS ARE GOOD AND WE WANT THE PAYOUT RATE TO INCREASE OVER TIME A SPOKESWOMAN FOR THE DETROIT BANK HOLDING COMPANY SAID
M03_22HC0102_CAF,2.8358125,/dt05_caf_real/M03_22HC0102_CAF.wav,MORGAN STANLEY AND COMPANY IS LEAD UNDERWRITER
F04_051C010F_CAF,2.428,/dt05_caf_real/F04_051C010F_CAF.wav,I THINK WE HAVE TO OPEN OUR MARKETS
F01_22GC010D_CAF,3.3439375,/dt05_caf_real/F01_22GC010D_CAF.wav,INTEREST RATES WILL BE ANNOUNCED WEDNESDAY
F01_22HC0109_CAF,11.4636875,/dt05_caf_real/F01_22HC0109_CAF.wav,THE PANEL MADE SEVERAL OTHER RECOMMENDATIONS CONCERNING PROGRAM TRADING INCLUDING CONSOLIDATING REGULATORY AUTHORITY OVER ALL U. S. FINANCIAL MARKETS UNDER ONE GOVERNMENT AGENCY
F04_22GC0102_CAF,4.1879375,/dt05_caf_real/F04_22GC0102_CAF.wav,MR. WOLF SAID THE NEW JOB WILL BE PRIMARILY BUSINESS ORIENTED
F04_051C010B_CAF,9.683875,/dt05_caf_real/F04_051C010B_CAF.wav,THE NOVEMBER DROP BROUGHT THE INDEX TO ONE HUNDRED NINETY POINT TWO PERCENT OF ITS NINETEEN SIXTY SEVEN AVERAGE FROM ONE HUNDRED NINETY THREE POINT FIVE PERCENT IN OCTOBER
F01_423C0214_CAF,11.479375,/dt05_caf_real/F01_423C0214_CAF.wav,THE FINANCE MINISTRY IS CONSIDERING DOING AWAY WITH A RULE THAT REQUIRES INVESTORS WHO INTEND TO ACQUIRE CONTROLLING STAKES IN JAPANESE COMPANIES TO REPORT DIRECTLY TO THE FINANCE MINISTRY
F01_050C0102_CAF,7.6319375,/dt05_caf_real/F01_050C0102_CAF.wav,THE DEPARTMENT SAID THE DECLINE IN FACTORY JOBS WAS CONCENTRATED IN MOTOR VEHICLES AND ELECTRICAL AND ELECTRONIC EQUIPMENT
M04_050C010R_CAF,6.97175,/dt05_caf_real/M04_050C010R_CAF.wav,THE MANAGEMENT COMMITTEE'S PLAN FOR THE NEW GOVERNING BODY CAN TAKE EFFECT IF APPROVED BY SEVENTY FIVE PERCENT OF THE EXCHANGE'S MEMBERS
F01_052C010Q_CAF,6.3116875,/dt05_caf_real/F01_052C010Q_CAF.wav,SHE ALSO HAS WORKED AT NEW YORK MAGAZINE ANOTHER WEEKLY CITY PUBLICATION AND THE WASHINGTON POST
M03_051C0115_CAF,5.588,/dt05_caf_real/M03_051C0115_CAF.wav,NOW MANY INSTITUTIONS SAY THEIR CASH LEVELS ARE TEN PERCENT OR MORE AND A FEW ARE AT THIRTY PERCENT OR MORE
F04_421C020A_CAF,3.8278125,/dt05_caf_real/F04_421C020A_CAF.wav,IT WOULD TAKE A NEW CHAIRMAN THE EXECUTIVE IS SAID TO HAVE REPLIED
F04_22GC010P_CAF,7.5559375,/dt05_caf_real/F04_22GC010P_CAF.wav,FIRST WHAT WAS ADMIRAL POINDEXTER'S BELIEF ABOUT THE PRESIDENT'S POLICY OF HELPING THE NICARAGUAN DEMOCRATIC RESISTANCE
F01_422C0211_CAF,6.015625,/dt05_caf_real/F01_422C0211_CAF.wav,I JUST FELT IT WAS AN APPROPRIATE TIME TO PURSUE BUSINESS IDEAS OF MY OWN MR. SAUNDERS SAID
F04_421C0206_CAF,2.53175,/dt05_caf_real/F04_421C0206_CAF.wav,WHAT ABOUT IN SOUTH AFRICA ITSELF
F01_053C010F_CAF,6.583125,/dt05_caf_real/F01_053C010F_CAF.wav,IN NINETEEN EIGHTY FOUR THE COMPANY WON SEVERAL MULTIMILLION DOLLAR ACCOUNTS AND SALES AND EARNINGS SOARED
M03_22GC010U_CAF,8.1100625,/dt05_caf_real/M03_22GC010U_CAF.wav,THE DECLINE IN THE DOLLAR AND THE CONTINUED STRENGTH IN THE ECONOMY HOWEVER ARE NOW ADDING DEMAND AND CAUSING THOSE PRICES TO RISE TOO
M03_421C020F_CAF,10.4916875,/dt05_caf_real/M03_421C020F_CAF.wav,STOCKS REBOUNDED SHARPLY PUSHING THE DOW JONES INDUSTRIALS UP A RECORD SEVENTY FIVE POINT TWO THREE POINTS TO TWO THOUSAND FIVE HUNDRED SIXTY EIGHT POINT OH FIVE
M03_050C0101_CAF,7.9915,/dt05_caf_real/M03_050C0101_CAF.wav,LAST MONTH OVERALL GOODS PRODUCING EMPLOYMENT FELL SIXTY EIGHT THOUSAND AFTER A THIRTY TWO THOUSAND JOB RISE IN FEBRUARY
F01_420C020B_CAF,8.6635,/dt05_caf_real/F01_420C020B_CAF.wav,MINING EMPLOYMENT WHICH INCLUDES THE OIL AND GAS EXTRACTION INDUSTRY ROSE THREE THOUSAND AFTER A ONE THOUSAND JOB RISE
M03_423C020J_CAF,4.6359375,/dt05_caf_real/M03_423C020J_CAF.wav,EXCLUDING AUTOS SALES INCREASED ZERO POINT THREE PERCENT
F04_050C0103_CAF,6.0836875,/dt05_caf_real/F04_050C0103_CAF.wav,CONSTRUCTION EMPLOYMENT FELL FORTY SEVEN THOUSAND AFTER A FIFTEEN THOUSAND JOB DECLINE THE MONTH BEFORE
F04_422C020W_CAF,8.0514375,/dt05_caf_real/F04_422C020W_CAF.wav,ITS DECLINE WAS APPARENTLY SPLIT BY FORD CHRYSLER AND HONDA MOTOR COMPANY WHOSE MARKET SHARES EACH GREW ONE POINT ONE PERCENT
M03_423C020Q_CAF,4.9398125,/dt05_caf_real/M03_423C020Q_CAF.wav,SOURCES SAY AT LEAST TWO BIDDERS HAD SOME DOUBTS ABOUT CITICORP'S PERFORMANCE NUMBERS
M04_052C010F_CAF,3.211875,/dt05_caf_real/M04_052C010F_CAF.wav,WESTERN UNION SAID IT MAY AGAIN EXTEND ITS DEADLINE
M04_423C020T_CAF,4.8118125,/dt05_caf_real/M04_423C020T_CAF.wav,NEW OWNERS SOMETIMES OFFER ATTRACTIVE LONGER TERM CONTRACTS TO SENIOR PEOPLE HE SAID
F01_423C020P_CAF,4.991875,/dt05_caf_real/F01_423C020P_CAF.wav,CITICORP SAID AN ACCORD HASN'T AT THIS MOMENT BEEN SIGNED
