ID,duration,wav,wrd
M06_443C020W_STR,6.5120625,/et05_str_real/M06_443C020W_STR.wav,THE AMERICAN STOCK EXCHANGE INDEX LOST ZERO POINT SEVEN THREE TO THREE HUNDRED EIGHTY POINT NINE FOUR
M06_444C0208_STR,5.0078125,/et05_str_real/M06_444C0208_STR.wav,CITICORP HAD TWENTY ONE POINT FIVE BILLION DOLLARS IN CAPITAL AT THE END OF LAST YEAR
M06_446C020H_STR,7.439625,/et05_str_real/M06_446C020H_STR.wav,HE SAID THAT FOR THE FULL YEAR WANG'S AIMING FOR AN AFTER TAX PROFIT EQUAL TO THREE PERCENT TO FIVE PERCENT OF SALES
M06_443C0209_STR,7.3278125,/et05_str_real/M06_443C0209_STR.wav,NONETHELESS THE UNION HAS MOVED THE EXPERIMENT TO RICHMOND VIRGINIA AND HAS RECEIVED INQUIRIES FROM OTHER UNIONS ABOUT ITS TACTICS
F06_440C020G_STR,3.4320625,/et05_str_real/F06_440C020G_STR.wav,ANALYSTS TOO GENERALLY PLAYED DOWN THE EFFECT ON BANKS
M06_446C0212_STR,8.7196875,/et05_str_real/M06_446C0212_STR.wav,CLOSELY HELD TIMES PUBLISHING ALSO OWNS TWO WASHINGTON BASED PUBLICATION CONGRESSIONAL QUARTERLY WHICH COVERS CAPITOL HILL AND GOVERNING WHICH COVERS STATE AND LOCAL GOVERNMENTS
F05_441C020G_STR,3.9758125,/et05_str_real/F05_441C020G_STR.wav,ELDERS FINANCE AND ELDERS AGRIBUSINESS WILL REMAIN BASED IN AUSTRALIA
M05_441C020O_STR,5.731125,/et05_str_real/M05_441C020O_STR.wav,ABOUT ALL THE BUSINESSMAN CAN COUNT ON IS THAT POLICY WILL BE PRETTY VOLATILE
M05_447C020X_STR,7.20375,/et05_str_real/M05_447C020X_STR.wav,SALANT SHARES CLOSED UNCHANGED ON THE BIG BOARD AT NINE DOLLARS AND SEVENTY FIVE CENTS
F06_447C020M_STR,6.24,/et05_str_real/F06_447C020M_STR.wav,ENVIRODYNE SAID IT EXPECTS SALES TO BE THE HIGHEST FOR ANY THIRD QUARTER IN THE COMPANY'S HISTORY
M05_444C020V_STR,9.1476875,/et05_str_real/M05_444C020V_STR.wav,AS PART OF THE MARKETING PLAN THE COMPANY WILL BEGIN AIRING TELEVISION COMMERCIALS DURING PRIME TIME ON ELECTION NIGHT NEXT TUESDAY
F06_445C020Y_STR,2.4560625,/et05_str_real/F06_445C020Y_STR.wav,NEITHER SIDE WOULD DISCLOSE TERMS
M06_441C020J_STR,5.1758125,/et05_str_real/M06_441C020J_STR.wav,TODAY NINETY PERCENT OF THE FOUR BILLION DOLLARS OF B. A. S. F. SALES IN THE U. S. IS PRODUCED THERE
M05_443C020K_STR,7.0760625,/et05_str_real/M05_443C020K_STR.wav,AFTER THE THIRD PERIOD ASHLAND'S COAL OPERATIONS BEGAN A PROCESS OF BECOMING AN INDEPENDENT COMPANY
M05_443C020Y_STR,8.70775,/et05_str_real/M05_443C020Y_STR.wav,THERE WERE TWO HUNDRED FIFTY SIX ISSUES ADVANCING THREE HUNDRED THREE DECLINING AND TWO HUNDRED NINETY TWO UNCHANGED
F06_441C020T_STR,2.248125,/et05_str_real/F06_441C020T_STR.wav,HAS EXPOSURE REALLY BEEN REDUCED
F05_442C0210_STR,3.455875,/et05_str_real/F05_442C0210_STR.wav,HE DECLINED TO NAME SPECIFIC PRODUCTS
F06_440C0204_STR,10.2801875,/et05_str_real/F06_440C0204_STR.wav,R. L. I. CORPORATION A PEORIA ILLINOIS BASED INSURANCE HOLDING COMPANY WILL BEGIN TRADING FRIDAY ON THE BIG BOARD UNDER THE SYMBOL R. L. I.
M06_441C0205_STR,2.1759375,/et05_str_real/M06_441C0205_STR.wav,THE LANGUAGE IS A BIG PROBLEM
F06_440C020K_STR,6.752,/et05_str_real/F06_440C020K_STR.wav,THE TRANSACTION REQUIRES APPROVAL OF A MAJORITY OF THE SHARES OF THE HOLDERS NOT AFFILIATED WITH MR. ICAHN
M05_445C020L_STR,8.355875,/et05_str_real/M05_445C020L_STR.wav,ALTHOUGH THOSE GAINS ERODED DURING THE AFTERNOON STOCK PRICES STAYED WITHIN A NARROW RANGE UNTIL THE LAST HALF HOUR OF TRADING
M06_446C0214_STR,4.0319375,/et05_str_real/M06_446C0214_STR.wav,INDUSTRY ANALYSTS VALUE THE COMPANY AT ABOUT SIX HUNDRED FIFTY MILLION DOLLARS
M06_447C0215_STR,8.6956875,/et05_str_real/M06_447C0215_STR.wav,SHEARSON LEHMAN HUTTON INCORPORATED'S INDEX OF LONG TERM TREASURY BONDS STAYED IN A VERY SMALL RANGE YESTERDAY FINISHING VERY CLOSE TO WEDNESDAY'S CLOSING LEVEL
F05_445C020Z_STR,3.4318125,/et05_str_real/F05_445C020Z_STR.wav,M. C. I. PLANS TO BEGIN OFFERING THE SERVICE AT THE END OF THIS MONTH
