ID,duration,wav,wrd
M06_444C020O_PED,7.160125,/et05_ped_simu/M06_444C020O_PED.wav,THE COMPANY DECLINED TO IDENTIFY THE BIDDERS BUT SAID IT RECEIVED OFFERS IN THE HIGH FORTY DOLLARS PER SHARE
F05_447C020S_PED,4.300125,/et05_ped_simu/F05_447C020S_PED.wav,BUT WHILE THE FED STANDS PAT IT IS COMING UNDER INCREASING ATTACK FROM BOTH SIDES
F06_445C0203_PED,5.4880625,/et05_ped_simu/F06_445C0203_PED.wav,A SPOKESMAN SAID THE COMPANY HAS ABOUT SIXTY MILLION SHARES OUTSTANDING
F06_442C0213_PED,1.5364375,/et05_ped_simu/F06_442C0213_PED.wav,THAT'S FINE
F06_446C0208_PED,3.76,/et05_ped_simu/F06_446C0208_PED.wav,BUT THE INVESTIGATION COULD MAKE SOME LENDERS WARY
F06_447C020N_PED,7.1039375,/et05_ped_simu/F06_447C020N_PED.wav,IT HAD SALES OF NINETY ONE POINT FIVE MILLION DOLLARS IN THE NINETEEN EIGHTY SIX THIRD QUARTER
F06_446C020Z_PED,5.712125,/et05_ped_simu/F06_446C020Z_PED.wav,REPUBLIC NEW YORK ROSE ONE AND ONE QUARTER TO FORTY FIVE AND SEVEN EIGHTHS
M06_442C0207_PED,5.82,/et05_ped_simu/M06_442C0207_PED.wav,GRAND AUTO SLID THREE TO FIFTEEN AND ONE EIGHTH ON THE AMERICAN STOCK EXCHANGE
F06_444C020E_PED,6.3360625,/et05_ped_simu/F06_444C020E_PED.wav,SEVERAL AIRLINES HAVE ALSO OPPOSED THE STANDARDS AND MAY FIGHT SOME ASPECTS IN COURT
M06_443C020P_PED,9.6560625,/et05_ped_simu/M06_443C020P_PED.wav,IN ADDITION U. S. WEST DATA SOLUTIONS BUSINESS APPLIED COMMUNICATIONS INCORPORATED IS WORKING OUT WELL AND PERFORMING AHEAD OF ALL OUR SCHEDULES
F05_446C0206_PED,2.588,/et05_ped_simu/F05_446C0206_PED.wav,WE'RE NOT PREPARED TO BE ADVOCATES FOR THE K. G. B.
F05_446C020C_PED,6.1643125,/et05_ped_simu/F05_446C020C_PED.wav,THE UNSOLD BALANCE LATE YESTERDAY WAS ABOUT THIRTY SIX POINT THREE MILLION DOLLARS ACCORDING TO SHEARSON LEHMAN BROTHERS THE LEAD UNDERWRITER
F06_446C0204_PED,7.5361875,/et05_ped_simu/F06_446C0204_PED.wav,THE CONSENSUS WAS THAT A NEW PIECE OF PAPER ISN'T REQUIRED SAID ONE U. S. DIPLOMAT
M05_440C020M_PED,5.0199375,/et05_ped_simu/M05_440C020M_PED.wav,TEXACO HAS THREE CHOICES A COMPANY ADVISER SAYS
