ID,duration,wav,wrd
M04_22GC0108_PED,5.04775,/dt05_ped_real/M04_22GC0108_PED.wav,A PILOT LOAN SALE PROGRAM APPROVED LAST YEAR WOULD PROVIDE A VIRTUALLY RISK FREE TEST OF THIS APPROACH
M03_421C0208_PED,3.2048125,/dt05_ped_real/M03_421C0208_PED.wav,FEW PEOPLE PREDICT A DIVIDEND CUT AT G. M. HOWEVER
F01_420C020H_PED,8.255625,/dt05_ped_real/F01_420C020H_PED.wav,IN OVER THE COUNTER TRADING FRIDAY THE COMPANY'S COMMON CLOSED AT TEN DOLLARS AND TWENTY FIVE CENTS A SHARE DOWN FIFTY CENTS
F04_22GC0111_PED,7.2196875,/dt05_ped_real/F04_22GC0111_PED.wav,YIELDS ON LONG TERM BONDS AFTER DROPPING AS LOW AS SEVEN POINT EIGHT THREE PERCENT EARLY LAST WEEK ARE BACK UP ABOVE EIGHT PERCENT
M03_052C0103_PED,7.09875,/dt05_ped_real/M03_052C0103_PED.wav,WITH SUCH KNOWLEDGE PLANNERS COULD BETTER DETERMINE WHETHER MORE COMMUNITY CARE FACILITIES COULD REDUCE THE NEED FOR NURSING HOMES OR HOSPITALS
M04_052C010V_PED,7.279625,/dt05_ped_real/M04_052C010V_PED.wav,THE FOREST PRODUCTS CONCERN SAID THE WORKERS AT THE AFFECTED PLANTS RETURNED TO WORK YESTERDAY ENDING A TWO MONTH STRIKE
F04_422C020E_PED,4.85975,/dt05_ped_real/F04_422C020E_PED.wav,THE TREND IS INEVITABLE UNLESS THE GOVERNMENT HAS AUTHORITY OVER THE WHOLE WORLD
F01_423C020I_PED,5.8156875,/dt05_ped_real/F01_423C020I_PED.wav,SEPARATELY THE GOVERNMENT SAID RETAIL SALES CLIMBED ZERO POINT SIX PERCENT IN FEBRUARY
F01_22HC0113_PED,3.328,/dt05_ped_real/F01_22HC0113_PED.wav,AND WE CAN'T TELL YOU WHEN THEY'RE GOING TO BE THERE
F01_422C020L_PED,7.5036875,/dt05_ped_real/F01_422C020L_PED.wav,REGIONAL BANKS APPEAR WILLING TO ACCEPT BIG LOSSES UNDER THE MEXICAN DEBT PLAN PUTTING PRESSURE ON BIG BANKS
M03_053C0109_PED,6.43575,/dt05_ped_real/M03_053C0109_PED.wav,IT DOES CALL FOR ELIMINATING SOME GOVERNMENT OBSTACLES TO THE DEVELOPMENT OF A HEALTHY LONG TERM CARE INSURANCE MARKET
F04_420C020F_PED,5.1633125,/dt05_ped_real/F04_420C020F_PED.wav,PROCEEDS WILL BE USED FOR PRODUCT DEVELOPMENT WORKING CAPITAL AND GENERAL PURPOSES
F04_422C020P_PED,8.7396875,/dt05_ped_real/F04_422C020P_PED.wav,THE COMPANY SAID ITS QUARTERLY CASH DIVIDEND OF FORTY CENTS A SHARE WILL BE PAID BEFORE THE SPLIT ON SEPTEMBER TENTH TO STOCK OF RECORD ON AUGUST NINETEENTH
M03_22GC010D_PED,2.659875,/dt05_ped_real/M03_22GC010D_PED.wav,INTEREST RATES WILL BE ANNOUNCED WEDNESDAY
M03_22HC0109_PED,10.4195,/dt05_ped_real/M03_22HC0109_PED.wav,THE PANEL MADE SEVERAL OTHER RECOMMENDATIONS CONCERNING PROGRAM TRADING INCLUDING CONSOLIDATING REGULATORY AUTHORITY OVER ALL U. S. FINANCIAL MARKETS UNDER ONE GOVERNMENT AGENCY
M03_421C020Q_PED,7.4520625,/dt05_ped_real/M03_421C020Q_PED.wav,EXXON CORPORATION SAID EARLIER THIS WEEK THAT IT REPLACED ONE HUNDRED FOURTEEN PERCENT OF ITS OIL AND GAS PRODUCTION IN NINETEEN EIGHTY SEVEN
M04_052C0115_PED,3.983875,/dt05_ped_real/M04_052C0115_PED.wav,THERE WERE THIRTEEN POINT NINE MILLION CRIMES REPORTED IN NINETEEN EIGHTY EIGHT
F01_051C010M_PED,6.4476875,/dt05_ped_real/F01_051C010M_PED.wav,THE PROPOSED PER SHARE PRICE INCLUDES TEN DOLLARS CASH AND TWO DOLLARS OF UNSPECIFIED SECURITIES
F01_422C020O_PED,6.647875,/dt05_ped_real/F01_422C020O_PED.wav,LA Z. BOY'S STOCK SPLIT IS PAYABLE SEPTEMBER FOURTEENTH TO STOCK OF RECORD ON AUGUST NINETEENTH
F04_052C0110_PED,5.595875,/dt05_ped_real/F04_052C0110_PED.wav,HE IS THE HEAD OF THE HUGE JUNK BOND OPERATION OF DREXEL BURNHAM LAMBERT INCORPORATED
F01_052C0111_PED,5.935625,/dt05_ped_real/F01_052C0111_PED.wav,AND MORE THAN THAT HE IS A CENTRAL FIGURE IN THE SECURITIES INDUSTRY'S INSIDER TRADING SCANDAL
F04_052C010M_PED,8.04,/dt05_ped_real/F04_052C010M_PED.wav,IN THE ELECTRICAL SECTOR SIEMENS RECOVERED SOME OF THE LOSS IT HAD TUESDAY WHEN IT REPORTED A NINE PERCENT DECLINE IN FIRST HALF GROUP PROFIT
M03_422C0211_PED,5.1958125,/dt05_ped_real/M03_422C0211_PED.wav,I JUST FELT IT WAS AN APPROPRIATE TIME TO PURSUE BUSINESS IDEAS OF MY OWN MR. SAUNDERS SAID
F01_423C0209_PED,3.468,/dt05_ped_real/F01_423C0209_PED.wav,THEY VOTE ON A SENSE OF LEADERSHIP
M03_052C010Y_PED,2.72425,/dt05_ped_real/M03_052C010Y_PED.wav,WHAT IS WRONG WITH THIS PICTURE
M03_053C010S_PED,4.747625,/dt05_ped_real/M03_053C010S_PED.wav,SUCH ACTIVITY HAS ALL BUT ENDED SINCE STOCK PRICES PLUNGED THE ANALYSTS SAY
F01_22GC010U_PED,8.191625,/dt05_ped_real/F01_22GC010U_PED.wav,THE DECLINE IN THE DOLLAR AND THE CONTINUED STRENGTH IN THE ECONOMY HOWEVER ARE NOW ADDING DEMAND AND CAUSING THOSE PRICES TO RISE TOO
M03_052C010X_PED,5.0515625,/dt05_ped_real/M03_052C010X_PED.wav,IT SAID VARIOUS LOCAL PLANT ISSUES MUST STILL BE RESOLVED BEFORE THE CONTRACT IS CONCLUDED
F04_423C0205_PED,4.3399375,/dt05_ped_real/F04_423C0205_PED.wav,THE OTHER WAS MITSUBISHI MOTORS CORPORATION'S U. S. SALES OPERATION
