ID,duration,wav,wrd
F01_420C020K_PED,6.471875,/dt05_ped_simu/F01_420C020K_PED.wav,MOST EUROPEAN TRADERS WERE REPORTEDLY STAYING OUT OF ACTION UNTIL THE TRADE FIGURES ARE RELEASED
M04_053C010J_PED,6.9276875,/dt05_ped_simu/M04_053C010J_PED.wav,THE COMPANY WHICH MAKES MOTOR VEHICLE REPLACEMENT PARTS SAID SALES EXCEEDED ONE BILLION DOLLARS FOR THE FISCAL YEAR
F04_421C0214_PED,3.51225,/dt05_ped_simu/F04_421C0214_PED.wav,IT SHOULD BE GOVERNMENT REGULATED SAYS DOCTOR WOLFE
M04_420C020J_PED,4.823875,/dt05_ped_simu/M04_420C020J_PED.wav,STOCKS ROSE IN AMSTERDAM AND WERE LOWER IN BRUSSELS AND MILAN
F04_423C020E_PED,5.4759375,/dt05_ped_simu/F04_423C020E_PED.wav,THE COMPANY SAID IT HASN'T BEEN ABLE TO OBTAIN THE BANK FINANCING FOR THE CONTINUING OPERATIONS
M03_420C020S_PED,5.5155,/dt05_ped_simu/M03_420C020S_PED.wav,WE BELIEVE PROGRAM TRADING IS IMPORTANT AS A SOURCE OF LIQUIDITY MORGAN STANLEY SAID
F04_422C0201_PED,8.63525,/dt05_ped_simu/F04_422C0201_PED.wav,THE N. A. S. D. RELEASED SHORT INTEREST FIGURES FOR THE FIRST TIME NOVEMBER TWENTY FIFTH FOR ALL STOCKS CARRIED ON ITS NASDAQ AUTOMATED QUOTATION SYSTEM
M04_052C010W_PED,8.039875,/dt05_ped_simu/M04_052C010W_PED.wav,THE COMPANY SAID THE WESTERN COUNCIL OF INDUSTRIAL WORKERS RATIFIED ECONOMIC TERMS OF THE NEW THREE YEAR AGREEMENT ON FRIDAY
M03_051C010U_PED,4.3156875,/dt05_ped_simu/M03_051C010U_PED.wav,PRICES OF MUNICIPAL BONDS GAINED AS MUCH AS THREE EIGHTHS POINT
M04_052C010N_PED,5.09575,/dt05_ped_simu/M04_052C010N_PED.wav,THE STOCK FIRMED FOUR POINT SEVEN OH TO THREE HUNDRED THIRTY SEVEN POINT FIVE OH
F01_051C0104_PED,3.0225,/dt05_ped_simu/F01_051C0104_PED.wav,THAT'S ANOTHER STORY
M03_050C0108_PED,5.37975,/dt05_ped_simu/M03_050C0108_PED.wav,U. S. CAR SALES FELL TEN POINT ONE PERCENT IN EARLY NOVEMBER FROM A YEAR AGO
M04_423C0212_PED,6.903625,/dt05_ped_simu/M04_423C0212_PED.wav,THE REPORT IT SEEMS FAILS TO MENTION ANYTHING ABOUT NEW YORK'S CREDIT CONDITIONS OR FACTORS TIED TO THAT MARKET
M04_22HC010O_PED,10.60775,/dt05_ped_simu/M04_22HC010O_PED.wav,ROBERT FARRELL DIRECTOR OF TECHNICAL ANALYSIS AT MERRILL LYNCH TAKES DOW THEORY INTO CONSIDERATION WHEN STUDYING THE MARKET BUT IT'S NOT HIS SOLE FORECASTING TOOL
F04_050C0109_PED,5.5320625,/dt05_ped_simu/F04_050C0109_PED.wav,THOUGH THERE WAS LITTLE EVIDENCE THE STOCK MARKET PLUNGE HAD AFFECTED SALES THE OUTLOOK REMAINS UNCERTAIN
F01_22HC010W_PED,9.095625,/dt05_ped_simu/F01_22HC010W_PED.wav,THERE WERE FOUR HUNDRED EIGHTY TWO DECLINING ISSUES THREE HUNDRED FORTY NINE ADVANCING AND ONE HUNDRED NINETY EIGHT UNCHANGED
F04_422C020S_PED,7.6116875,/dt05_ped_simu/F04_422C020S_PED.wav,IN NATIONAL OVER THE COUNTER TRADING INFORMATION RESOURCES CLOSED AT TWENTY ONE DOLLARS UP TWO POINT ONE TWO FIVE DOLLARS
M04_22GC0112_PED,10.031625,/dt05_ped_simu/M04_22GC0112_PED.wav,THE DISCOUNT RATE ON THE THREE MONTH TREASURY BILL FELL AS LOW AS SEVEN POINT SIX FOUR PERCENT BUT WAS QUOTED LATE FRIDAY AT SEVEN POINT EIGHT SIX PERCENT
M04_22GC0101_PED,8.3753125,/dt05_ped_simu/M04_22GC0101_PED.wav,ROBINS SAID MR. WOLF FORTY THREE YEARS OLD IS LEAVING AFTER THIRTEEN YEARS WITH THE COMPANY FOR A POSITION WITH A TEXAS HEALTH CARE CONCERN
M04_053C0103_PED,4.679625,/dt05_ped_simu/M04_053C0103_PED.wav,A SPOKESWOMAN FOR THE DEPARTMENT SAID NO SUCH DECISION HAS BEEN MADE YET
F04_422C020K_PED,8.3313125,/dt05_ped_simu/F04_422C020K_PED.wav,YESTERDAY THE DOLLAR EASED SLIGHTLY AGAINST MOST MAJOR FOREIGN CURRENCIES CHEERING SOME STOCK IT MARKET PLAYERS WITH ITS RELATIVE STABILITY
F04_051C0110_PED,3.8998125,/dt05_ped_simu/F04_051C0110_PED.wav,WE LOOK FOR HIGHER THAN STANDARD RETURNS MR. SPERLING SAYS
M03_420C0211_PED,4.660125,/dt05_ped_simu/M03_420C0211_PED.wav,PROCEEDS ALSO MAY BE USED EVENTUALLY TO BUY BACK COMMON SHARES THE COMPANY SAID
M04_052C0107_PED,6.4315,/dt05_ped_simu/M04_052C0107_PED.wav,REGIONAL BANKS APPEAR WILLING TO ACCEPT BIG LOSSES UNDER THE MEXICAN DEBT PLAN PUTTING PRESSURE ON BIG BANKS
M03_421C0205_PED,2.42,/dt05_ped_simu/M03_421C0205_PED.wav,AT LEAST IN THE U. S. THEY WERE
F01_421C020G_PED,9.143625,/dt05_ped_simu/F01_421C020G_PED.wav,THE RALLY FUELED BY A STRONGER DOLLAR AND BOND MARKET SNAPPED A FIVE DAY DECLINE IN WHICH THE INDUSTRIALS LOST OVER ONE HUNDRED TWENTY POINTS
F01_052C010S_PED,3.631875,/dt05_ped_simu/F01_052C010S_PED.wav,IN A MINUTE THE DEAL IS CLOSED
F04_053C010K_PED,6.1885625,/dt05_ped_simu/F04_053C010K_PED.wav,IN A STATEMENT R. L. R. SAID THE BROKERAGE UNIT GENERATED SUBSTANTIALLY ALL OF ITS REVENUE
F04_052C010E_PED,4.6755625,/dt05_ped_simu/F04_052C010E_PED.wav,THE SWAP OFFER REQUIRES AT LEAST EIGHTY PERCENT OF THE TOTAL BE TENDERED
M03_22HC010Z_PED,2.2199375,/dt05_ped_simu/M03_22HC010Z_PED.wav,OUR CUSTOMERS WANT THEM
M03_052C0105_PED,7.620125,/dt05_ped_simu/M03_052C0105_PED.wav,THE NEW YORK PHARMACEUTICAL AND CONSUMER PRODUCTS CONCERN SAID THE RATE REFLECTS THE BOARD'S CONFIDENCE IN THE CONTINUING STRENGTH AND GROWTH OF THE BUSINESS
M03_051C010Z_PED,5.34775,/dt05_ped_simu/M03_051C010Z_PED.wav,THE CURRENCY WAS QUOTED LATE IN THE DAY IN SYDNEY AT SEVENTY SEVEN POINT OH NINE U. S. CENTS
M04_420C0204_PED,8.6158125,/dt05_ped_simu/M04_420C0204_PED.wav,EXPENSES FROM THE DELAYED NINE MILE POINT TWO NUCLEAR PLANT ACCOUNTED FOR TWO HUNDRED SIXTY NINE MILLION DOLLARS OF THE WRITE OFF
