ID,duration,wav,wrd
F01_22HC0111_STR,5.311875,/dt05_str_simu/F01_22HC0111_STR.wav,THAT'S NOT TO SAY HE IS LOOKING FOR A REBOUND IN THE NEXT COUPLE OF WEEKS OR EVEN MONTHS
M04_423C020J_STR,4.31975,/dt05_str_simu/M04_423C020J_STR.wav,EXCLUDING AUTOS SALES INCREASED ZERO POINT THREE PERCENT
F04_420C020E_STR,9.635625,/dt05_str_simu/F04_420C020E_STR.wav,THE STOCK IS CONVERTIBLE AT ANY TIME INTO COMMON AT AN INITIAL PRICE OF TWELVE DOLLARS A SHARE SUBJECT TO ADJUSTMENT DECEMBER FIFTEENTH NINETEEN EIGHTY EIGHT
F04_423C020E_STR,5.4759375,/dt05_str_simu/F04_423C020E_STR.wav,THE COMPANY SAID IT HASN'T BEEN ABLE TO OBTAIN THE BANK FINANCING FOR THE CONTINUING OPERATIONS
F01_420C020D_STR,4.8158125,/dt05_str_simu/F01_420C020D_STR.wav,DREXEL BURNHAM LAMBERT INCORPORATED WAS LEAD UNDERWRITER
F01_423C020D_STR,3.9159375,/dt05_str_simu/F01_423C020D_STR.wav,ALL SETTLEMENT TALKS CEASED AFTER THE FILING
F04_422C020U_STR,10.3235,/dt05_str_simu/F04_422C020U_STR.wav,DOMESTIC CARS ACCOUNTED FOR SEVENTY THREE POINT FIVE PERCENT OF APRIL AUTO SALES WHILE THE IMPORT SHARE GREW ONE POINT FIVE PERCENT TO TWENTY SIX POINT FIVE PERCENT
M03_051C010X_STR,8.5743125,/dt05_str_simu/M03_051C010X_STR.wav,THE ALL ORDINARIES INDEX WHICH FELL ELEVEN POINT THREE TUESDAY SLIPPED ONE POINT FIVE TO ONE THOUSAND FOUR HUNDRED FORTY THREE POINT TWO
M04_22HC0113_STR,3.8318125,/dt05_str_simu/M04_22HC0113_STR.wav,AND WE CAN'T TELL YOU WHEN THEY'RE GOING TO BE THERE
M04_22GC010O_STR,2.8320625,/dt05_str_simu/M04_22GC010O_STR.wav,THERE ARE TWO ISSUES TO CONSIDER
M04_421C020F_STR,10.2154375,/dt05_str_simu/M04_421C020F_STR.wav,STOCKS REBOUNDED SHARPLY PUSHING THE DOW JONES INDUSTRIALS UP A RECORD SEVENTY FIVE POINT TWO THREE POINTS TO TWO THOUSAND FIVE HUNDRED SIXTY EIGHT POINT OH FIVE
