ID,duration,wav,wrd
F05_440C0209_STR,3.0040625,/et05_str_simu/F05_440C0209_STR.wav,A P. B. G. C. SPOKESWOMAN DECLINED COMMENT
F06_446C020D_STR,6.4719375,/et05_str_simu/F06_446C020D_STR.wav,THE ISSUE IS RATED SINGLE A BY MOODY'S AND SINGLE A MINUS BY S. AND P.
M06_442C020K_STR,3.5040625,/et05_str_simu/M06_442C020K_STR.wav,THAT WOULD FOLLOW A TWO POINT TWO PERCENT DROP IN MAY
M06_445C020K_STR,6.424125,/et05_str_simu/M06_445C020K_STR.wav,BUT TO THE SURPRISE OF ALMOST EVERYONE STOCK PRICES BEGAN A STEADY CLIMB THAT PUSHED THE AVERAGE ABOVE WEDNESDAY'S CLOSE
M06_441C020S_STR,3.192,/et05_str_simu/M06_441C020S_STR.wav,ANALYSTS HAVEN'T FOCUSED ON WHAT HAPPENED TO THEM
M06_445C020H_STR,4.5040625,/et05_str_simu/M06_445C020H_STR.wav,THE SUIT SEEKS TO BLOCK THE CONTRACT WHICH WOULD HAVE RAISED PAY LEVELS BUT CUT BENEFITS
M06_444C0206_STR,7.792125,/et05_str_simu/M06_444C0206_STR.wav,THE UNSOLD BALANCE LATE YESTERDAY WAS ABOUT THIRTY SIX POINT THREE MILLION DOLLARS ACCORDING TO SHEARSON LEHMAN BROTHERS THE LEAD UNDERWRITER
M06_443C0213_STR,3.3290625,/et05_str_simu/M06_443C0213_STR.wav,HONDA WAS DOWN TEN TO ONE THOUSAND NINE HUNDRED THIRTY
F05_444C0201_STR,7.90825,/et05_str_simu/F05_444C0201_STR.wav,IN THE NINETEEN EIGHTY FIVE QUARTER THE OWNER AND OPERATOR OF HEALTH MAINTENANCE ORGANIZATIONS EARNED SIX POINT NINE MILLION DOLLARS OR TWENTY FOUR CENTS A SHARE
F06_440C0206_STR,4.335875,/et05_str_simu/F06_440C0206_STR.wav,TWO OTHER ISSUES BEGAN TRADING RECENTLY ON THE BIG BOARD
F06_447C0214_STR,2.0078125,/et05_str_simu/F06_447C0214_STR.wav,WE DIDN'T LIKE THAT
F05_443C0207_STR,2.732125,/et05_str_simu/F05_443C0207_STR.wav,IT ISN'T CLEAR YET WHETHER THE CAMPAIGN WORKS
M06_447C0207_STR,7.7280625,/et05_str_simu/M06_447C0207_STR.wav,WASHINGTON NATIONAL PAID NINETEEN DOLLARS A SHARE FOR THE TWO POINT SIX MILLION UNITED PRESIDENTIAL SHARES IT DIDN'T ALREADY OWN
F06_442C020M_STR,5.8160625,/et05_str_simu/F06_442C020M_STR.wav,EVEN SOME BIGGER COMPANIES CAUTION THAT THEY ARE LEERY OF PAYING TOO BIG A PREMIUM
F05_442C0210_STR,2.5161875,/et05_str_simu/F05_442C0210_STR.wav,HE DECLINED TO NAME SPECIFIC PRODUCTS
M06_440C020W_STR,5.00425,/et05_str_simu/M06_440C020W_STR.wav,DURABLE GOODS REPORTS FREQUENTLY ARE HIGHLY VOLATILE FROM MONTH TO MONTH
F06_440C020K_STR,7.896125,/et05_str_simu/F06_440C020K_STR.wav,THE TRANSACTION REQUIRES APPROVAL OF A MAJORITY OF THE SHARES OF THE HOLDERS NOT AFFILIATED WITH MR. ICAHN
M05_442C0206_STR,6.09175,/et05_str_simu/M05_442C0206_STR.wav,THE TORONTO BASED COMPANY PROVIDES MORTGAGE GUARANTEES TO THE CANADIAN REAL ESTATE INDUSTRY
M06_442C020J_STR,9.780375,/et05_str_simu/M06_442C020J_STR.wav,ACCORDING TO THE AVERAGE ESTIMATE OF SEVEN ECONOMISTS SURVEYED BY DOW JONES CAPITAL MARKETS REPORT NEW ORDERS FOR U. S. DURABLE GOODS ROSE TWO POINT FOUR PERCENT LAST MONTH
F06_441C020Z_STR,10.6961875,/et05_str_simu/F06_441C020Z_STR.wav,THE COMPANY SAID ITS EUROPEAN BANKING AFFILIATE SAFRA REPUBLIC PLANS TO RAISE MORE THAN FOUR HUNDRED FIFTY MILLION DOLLARS THROUGH AN INTERNATIONAL OFFERING
M05_442C0204_STR,9.3238125,/et05_str_simu/M05_442C0204_STR.wav,M. I. C. C. INVESTMENTS HAS THREE SERIES OF PUBLICLY TRADED PREFERRED SHARES AND TEN SERIES OF PRIVATELY HELD PREFERRED STOCK
M06_441C020N_STR,6.4925,/et05_str_simu/M06_441C020N_STR.wav,COMPANIES ARE LISTED WHERE TRANSACTIONS GENERALLY AGGREGATE TEN THOUSAND SHARES OR ONE HUNDRED THOUSAND DOLLARS
F06_445C020Z_STR,4.8800625,/et05_str_simu/F06_445C020Z_STR.wav,M. C. I. PLANS TO BEGIN OFFERING THE SERVICE AT THE END OF THIS MONTH
F05_446C020I_STR,6.1403125,/et05_str_simu/F05_446C020I_STR.wav,HE SAID THE COMPANY'S GOAL IS TO HAVE FIFTEEN PERCENT TO TWENTY PERCENT REVENUE GROWTH TO ABOUT THREE POINT TWO BILLION DOLLARS FOR THE YEAR
M05_441C020B_STR,6.835875,/et05_str_simu/M05_441C020B_STR.wav,GRAND AUTO SLID THREE TO FIFTEEN AND ONE EIGHTH ON THE AMERICAN STOCK EXCHANGE
M06_446C020U_STR,3.1399375,/et05_str_simu/M06_446C020U_STR.wav,THAT WOULD FOLLOW A TWO POINT TWO PERCENT DROP IN MAY
F05_444C0210_STR,7.820375,/et05_str_simu/F05_444C0210_STR.wav,THE INSTITUTE SAID EARNED PREMIUMS ROSE THREE POINT ONE PERCENT IN THE SECOND QUARTER FAILING TO KEEP PACE WITH INFLATION WHICH ROSE FOUR POINT FIVE PERCENT
F05_447C0210_STR,5.8760625,/et05_str_simu/F05_447C0210_STR.wav,FOUNDED LAST OCTOBER NEW YORK'S BODY POSITIVE ALREADY HAS SIXTEEN GROUPS MEETING EVERY TWO WEEKS
M06_440C020V_STR,6.8440625,/et05_str_simu/M06_440C020V_STR.wav,THE RATE ON SIX MONTH BILLS FELL TO SIX POINT SEVEN THREE PERCENT FROM SIX POINT EIGHT THREE PERCENT
F05_445C0208_STR,2.94825,/et05_str_simu/F05_445C0208_STR.wav,THEIR BUSINESS ISN'T JUST A JOB BUT THEIR INVESTMENT
F05_440C020T_STR,2.5561875,/et05_str_simu/F05_440C020T_STR.wav,RATES FELL ON SHORT TERM TREASURY BILLS
M06_445C020S_STR,3.9201875,/et05_str_simu/M06_445C020S_STR.wav,LATELY COMPUTER RETAILING HAS BEEN TOUGH ON EVERYBODY
F05_446C020B_STR,7.66025,/et05_str_simu/F05_446C020B_STR.wav,THE ISSUE WAS PRICED AFTER AUCTION TO YIELD FROM THREE POINT FIVE PERCENT IN NINETEEN EIGHTY SEVEN TO FIVE POINT FIVE PERCENT IN NINETEEN NINETY SEVEN
F05_440C020E_STR,7.3565625,/et05_str_simu/F05_440C020E_STR.wav,THE AVERAGE RATE ON NEW THIRTEEN WEEK TREASURY BILLS INCREASED TO SIX POINT ONE TWO PERCENT FROM FIVE POINT NINE SEVEN PERCENT AT THE PREVIOUS AUCTION LAST WEEK
M05_447C0215_STR,11.3554375,/et05_str_simu/M05_447C0215_STR.wav,SHEARSON LEHMAN HUTTON INCORPORATED'S INDEX OF LONG TERM TREASURY BONDS STAYED IN A VERY SMALL RANGE YESTERDAY FINISHING VERY CLOSE TO WEDNESDAY'S CLOSING LEVEL
