ID,duration,wav,wrd
M06_444C020V_BUS,6.50425,/et05_bus_simu/M06_444C020V_BUS.wav,AS PART OF THE MARKETING PLAN THE COMPANY WILL BEGIN AIRING TELEVISION COMMERCIALS DURING PRIME TIME ON ELECTION NIGHT NEXT TUESDAY
M05_443C020A_BUS,8.1476875,/et05_bus_simu/M05_443C020A_BUS.wav,IN THE EFFORTS TO RESTORE MARKET CONFIDENCE ADMINISTRATION OFFICIALS HAVE EMPHASIZED THAT THE ECONOMY'S FUNDAMENTALS REMAIN SOUND
M06_440C020U_BUS,10.248625,/et05_bus_simu/M06_440C020U_BUS.wav,THE RATE ON THE LATEST THREE MONTH BILLS DECLINED TO SIX POINT FOUR THREE PERCENT BID FROM AN AVERAGE OF SIX POINT FIVE THREE PERCENT SET AT TUESDAY'S AUCTION
F05_447C020Y_BUS,5.7163125,/et05_bus_simu/F05_447C020Y_BUS.wav,INCREASINGLY PEOPLE WHO TEST POSITIVE JOIN THE SUPPORT GROUPS THAT HAVE SPRUNG UP ACROSS THE COUNTRY IN THE PAST YEAR
M06_440C020W_BUS,5.00425,/et05_bus_simu/M06_440C020W_BUS.wav,DURABLE GOODS REPORTS FREQUENTLY ARE HIGHLY VOLATILE FROM MONTH TO MONTH
M05_442C020B_BUS,7.132,/et05_bus_simu/M05_442C020B_BUS.wav,SHAMROCK'S PRETAX PROFIT FROM THE SALE WAS ONE HUNDRED TWENTY FIVE MILLION DOLLARS A SPOKESWOMAN SAID
M06_443C0212_BUS,2.952,/et05_bus_simu/M06_443C0212_BUS.wav,YESTERDAY'S LOSERS INCLUDED AUTOMOBILES
F05_445C020P_BUS,3.9803125,/et05_bus_simu/F05_445C020P_BUS.wav,ABOUT ALL THE BUSINESSMAN CAN COUNT ON IS THAT POLICY WILL BE PRETTY VOLATILE
F05_446C020S_BUS,6.1081875,/et05_bus_simu/F05_446C020S_BUS.wav,AMONG MEN FORTY ONE PERCENT SUPPORTED BOOSTING THE SPACE EXPLORATION BUDGET COMPARED WITH NINETEEN PERCENT OF WOMEN
F05_445C0208_BUS,2.94825,/et05_bus_simu/F05_445C0208_BUS.wav,THEIR BUSINESS ISN'T JUST A JOB BUT THEIR INVESTMENT
F06_442C020V_BUS,6.296125,/et05_bus_simu/F06_442C020V_BUS.wav,UTILITY ANALYSTS HOWEVER EXPECT THE AGREEMENT TO BE COMPLETED WITHOUT MUCH DIFFICULTY
M06_445C0206_BUS,3.328,/et05_bus_simu/M06_445C0206_BUS.wav,WE'RE NOT PREPARED TO BE ADVOCATES FOR THE K. G. B.
F06_445C020C_BUS,5.224625,/et05_bus_simu/F06_445C020C_BUS.wav,TESTIMONY CONCLUDED THIS WEEK AND CLOSING ARGUMENTS ARE SCHEDULED TO BEGIN MONDAY
M06_445C020S_BUS,3.9201875,/et05_bus_simu/M06_445C020S_BUS.wav,LATELY COMPUTER RETAILING HAS BEEN TOUGH ON EVERYBODY
M05_442C0204_BUS,9.3238125,/et05_bus_simu/M05_442C0204_BUS.wav,M. I. C. C. INVESTMENTS HAS THREE SERIES OF PUBLICLY TRADED PREFERRED SHARES AND TEN SERIES OF PRIVATELY HELD PREFERRED STOCK
F06_446C0204_BUS,7.5361875,/et05_bus_simu/F06_446C0204_BUS.wav,THE CONSENSUS WAS THAT A NEW PIECE OF PAPER ISN'T REQUIRED SAID ONE U. S. DIPLOMAT
F06_446C0205_BUS,3.6000625,/et05_bus_simu/F06_446C0205_BUS.wav,NO ONE AT THE STATE DEPARTMENT WANTS TO LET SPIES IN
M06_445C020E_BUS,8.2881875,/et05_bus_simu/M06_445C020E_BUS.wav,THE COMPANY WHICH RUNS RETAIL AUTOMOTIVE STORES TOLD SHEARSON LEHMAN BROTHERS ITS FINANCIAL ADVISER TO TERMINATE DISCUSSIONS TO SELL THE FIRM
M06_444C020T_BUS,4.984,/et05_bus_simu/M06_444C020T_BUS.wav,THE MARKET'S STRENGTH MAY SHOW THAT DEMAND ISN'T ALL A CREATION OF INCENTIVES
M06_444C0205_BUS,8.032375,/et05_bus_simu/M06_444C0205_BUS.wav,THE ISSUE WAS PRICED AFTER AUCTION TO YIELD FROM THREE POINT FIVE PERCENT IN NINETEEN EIGHTY SEVEN TO FIVE POINT FIVE PERCENT IN NINETEEN NINETY SEVEN
F05_440C0204_BUS,7.34825,/et05_bus_simu/F05_440C0204_BUS.wav,R. L. I. CORPORATION A PEORIA ILLINOIS BASED INSURANCE HOLDING COMPANY WILL BEGIN TRADING FRIDAY ON THE BIG BOARD UNDER THE SYMBOL R. L. I.
M06_442C020C_BUS,5.7520625,/et05_bus_simu/M06_442C020C_BUS.wav,SHAMROCK HAS INTERESTS IN TELEVISION AND RADIO STATIONS ENERGY SERVICES REAL ESTATE AND VENTURE CAPITAL
M06_440C020V_BUS,6.844,/et05_bus_simu/M06_440C020V_BUS.wav,THE RATE ON SIX MONTH BILLS FELL TO SIX POINT SEVEN THREE PERCENT FROM SIX POINT EIGHT THREE PERCENT
F06_442C020Q_BUS,10.00025,/et05_bus_simu/F06_442C020Q_BUS.wav,IN A DUTCH AUCTION HOLDERS TENDER THEIR SHARES AT PRICES WITHIN A STATED RANGE IN THIS CASE BETWEEN TWENTY EIGHT DOLLARS AND THIRTY THREE DOLLARS A SHARE
M05_442C020R_BUS,9.275625,/et05_bus_simu/M05_442C020R_BUS.wav,THE COMPANY THEN ACCEPTS THE SHARES TENDERED AT THE LOWEST PRICE NEEDED TO REACH ITS TOTAL THEN PAYS THAT AMOUNT FOR ALL SHARES IT PURCHASES
M05_447C0203_BUS,3.2356875,/et05_bus_simu/M05_447C0203_BUS.wav,AND I'M SURE YOU HAVE YOUR OWN LIST
