ID,duration,wav,wrd
M03_22GC0102_CAF,4.083875,/dt05_caf_simu/M03_22GC0102_CAF.wav,MR. WOLF SAID THE NEW JOB WILL BE PRIMARILY BUSINESS ORIENTED
M03_051C010D_CAF,10.1953125,/dt05_caf_simu/M03_051C010D_CAF.wav,IN YESTERDAY'S RELEASE THE DEPARTMENT ALSO REVISED THE SEPTEMBER PERFORMANCE TO A ZERO POINT TWO PERCENT RISE AFTER PREVIOUSLY REPORTING IT AS UNCHANGED
M04_050C010V_CAF,6.623625,/dt05_caf_simu/M04_050C010V_CAF.wav,BUT THE DISCUSSIONS SUBSEQUENTLY ENDED BECAUSE THE TWO SIDES COULDN'T AGREE ON FINANCIAL AND OTHER TERMS
M04_421C0204_CAF,4.879875,/dt05_caf_simu/M04_421C0204_CAF.wav,SO CLEARLY THE ADVOCATES OF SANCTIONS WERE THE FOREIGN POLICY VICTORS
F04_421C0212_CAF,3.3798125,/dt05_caf_simu/F04_421C0212_CAF.wav,CRITICS SAY THE FEDERAL APPROACH WAS WRONG FROM THE START
F04_421C0214_CAF,3.51225,/dt05_caf_simu/F04_421C0214_CAF.wav,IT SHOULD BE GOVERNMENT REGULATED SAYS DOCTOR WOLFE
M04_422C0202_CAF,6.6478125,/dt05_caf_simu/M04_422C0202_CAF.wav,INVESTORS USE SHORT INTEREST FIGURES TO DETERMINE HOW MUCH SHORT SELLING IS GOING ON IN INDIVIDUAL STOCKS
F01_050C010C_CAF,5.35975,/dt05_caf_simu/F01_050C010C_CAF.wav,OTHERS INCLUDE A JOINT VENTURE WITH ANOTHER COMPANY OR AN EMPLOYEE BUY OUT
F04_420C020E_CAF,9.635625,/dt05_caf_simu/F04_420C020E_CAF.wav,THE STOCK IS CONVERTIBLE AT ANY TIME INTO COMMON AT AN INITIAL PRICE OF TWELVE DOLLARS A SHARE SUBJECT TO ADJUSTMENT DECEMBER FIFTEENTH NINETEEN EIGHTY EIGHT
F04_053C0104_CAF,4.2919375,/dt05_caf_simu/F04_053C0104_CAF.wav,IN ADDITION I. B. M.'S PRICING STRATEGY COULD HURT COMPETITORS
F04_052C0103_CAF,7.7796875,/dt05_caf_simu/F04_052C0103_CAF.wav,WITH SUCH KNOWLEDGE PLANNERS COULD BETTER DETERMINE WHETHER MORE COMMUNITY CARE FACILITIES COULD REDUCE THE NEED FOR NURSING HOMES OR HOSPITALS
M03_421C020M_CAF,7.3636875,/dt05_caf_simu/M03_421C020M_CAF.wav,THE FINANCIAL TIMES THIRTY SHARE INDEX CLOSED UP SEVEN POINT SIX POINTS AT ONE THOUSAND THREE HUNDRED NINETY EIGHT POINT SEVEN
M03_422C020W_CAF,8.4039375,/dt05_caf_simu/M03_422C020W_CAF.wav,ITS DECLINE WAS APPARENTLY SPLIT BY FORD CHRYSLER AND HONDA MOTOR COMPANY WHOSE MARKET SHARES EACH GREW ONE POINT ONE PERCENT
F01_422C0208_CAF,4.32775,/dt05_caf_simu/F01_422C0208_CAF.wav,JUST BEFORE CHRISTMAS SHE FINALLY APPLIED FOR WELFARE
F01_422C0213_CAF,3.2248125,/dt05_caf_simu/F01_422C0213_CAF.wav,I PREFER NOT TO SAY ANYTHING MORE THAN THAT
M04_22HC0104_CAF,8.303875,/dt05_caf_simu/M04_22HC0104_CAF.wav,IN NEW YORK STOCK EXCHANGE COMPOSITE TRADING FRIDAY THE COMPANY'S STOCK CLOSED AT TWENTY THREE POINT ONE TWO FIVE DOLLARS UNCHANGED
F01_053C010C_CAF,4.992,/dt05_caf_simu/F01_053C010C_CAF.wav,PRICES WERE DOWN EVERY DAY BUT THURSDAY WHEN THEY ROSE ONLY SLIGHTLY
M04_22GC010R_CAF,4.4478125,/dt05_caf_simu/M04_22GC010R_CAF.wav,CERTAIN PRICES HAVE RISEN AT A BRISK PACE THROUGHOUT THIS DECADE
M03_051C0115_CAF,5.92375,/dt05_caf_simu/M03_051C0115_CAF.wav,NOW MANY INSTITUTIONS SAY THEIR CASH LEVELS ARE TEN PERCENT OR MORE AND A FEW ARE AT THIRTY PERCENT OR MORE
