ID,duration,wav,wrd
M05_447C020S_PED,5.6318125,/et05_ped_real/M05_447C020S_PED.wav,BUT WHILE THE FED STANDS PAT IT IS COMING UNDER INCREASING ATTACK FROM BOTH SIDES
M05_447C0210_PED,8.09175,/et05_ped_real/M05_447C0210_PED.wav,FOUNDED LAST OCTOBER NEW YORK'S BODY POSITIVE ALREADY HAS SIXTEEN GROUPS MEETING EVERY TWO WEEKS
F05_447C0216_PED,6.1199375,/et05_ped_real/F05_447C0216_PED.wav,THE INDEX ENDED WITH A DECLINE OF ZERO POINT THREE FIVE POINT TO ONE THOUSAND TWO HUNDRED SEVENTY TWO POINT ONE EIGHT
M06_444C020N_PED,1.81575,/et05_ped_real/M06_444C020N_PED.wav,WE DIDN'T LIKE THAT
F06_446C020Z_PED,4.776125,/et05_ped_real/F06_446C020Z_PED.wav,REPUBLIC NEW YORK ROSE ONE AND ONE QUARTER TO FORTY FIVE AND SEVEN EIGHTHS
M05_446C020N_PED,5.775875,/et05_ped_real/M05_446C020N_PED.wav,THE REAL ESTATE INVESTMENT TRUST SAID IT WAS STILL HOPING TO REACH A NEW CREDIT ARRANGEMENT
F05_440C020N_PED,6.50375,/et05_ped_real/F05_440C020N_PED.wav,IT CAN SIGN ONTO THE PLAN FILE A COMPETING PLAN OR TAKE A COMPLETELY PASSIVE ROLE THAT NEITHER ENDORSES NOR OPPOSES A PLAN
M06_441C020Y_PED,4.704125,/et05_ped_real/M06_441C020Y_PED.wav,REPUBLIC NEW YORK ROSE ONE AND ONE QUARTER TO FORTY FIVE AND SEVEN EIGHTHS
F05_443C0208_PED,5.704,/et05_ped_real/F05_443C0208_PED.wav,LOCAL MEMBERSHIP JUMPED TWENTY TWO PERCENT BUT THE UNION HAS ALREADY LOST TWENTY EIGHT OF THE SEVENTY THREE NEW MEMBERS
M06_444C020E_PED,4.9280625,/et05_ped_real/M06_444C020E_PED.wav,SEVERAL AIRLINES HAVE ALSO OPPOSED THE STANDARDS AND MAY FIGHT SOME ASPECTS IN COURT
F05_441C020V_PED,5.6079375,/et05_ped_real/F05_441C020V_PED.wav,CLOSED END FUNDS ARE TRADED ON EXCHANGES LIKE STOCKS BUT INVEST IN A WIDE PORTFOLIO OF OTHER SECURITIES
M06_447C0217_PED,7.1599375,/et05_ped_real/M06_447C0217_PED.wav,THE LOW WAS ONE THOUSAND TWO HUNDRED SEVENTY POINT ONE NINE AND THE HIGH WAS ONE THOUSAND TWO HUNDRED SEVENTY THREE POINT EIGHT EIGHT
M05_443C0202_PED,6.4476875,/et05_ped_real/M05_443C0202_PED.wav,THE DEPARTMENT PREVIOUSLY SAID JOBS ROSE BY FOUR HUNDRED FORTY EIGHT THOUSAND IN JANUARY
F06_441C020H_PED,6.104,/et05_ped_real/F06_441C020H_PED.wav,TWO YEARS AGO B. A. F. F. MADE THREE SEPARATE ACQUISITIONS IN THE U. S.
F05_446C0206_PED,2.772,/et05_ped_real/F05_446C0206_PED.wav,WE'RE NOT PREPARED TO BE ADVOCATES FOR THE K. G. B.
F05_446C020C_PED,6.1841875,/et05_ped_real/F05_446C020C_PED.wav,THE UNSOLD BALANCE LATE YESTERDAY WAS ABOUT THIRTY SIX POINT THREE MILLION DOLLARS ACCORDING TO SHEARSON LEHMAN BROTHERS THE LEAD UNDERWRITER
F06_443C0205_PED,7.552125,/et05_ped_real/F06_443C0205_PED.wav,M. I. C. C. SAID IT INTENDS TO PAY THE DIVIDEND ARREARS ON JULY THIRTY FIRST TO STOCK OF RECORD JULY SECOND
F06_446C0204_PED,5.48,/et05_ped_real/F06_446C0204_PED.wav,THE CONSENSUS WAS THAT A NEW PIECE OF PAPER ISN'T REQUIRED SAID ONE U. S. DIPLOMAT
