ID,duration,wav,wrd
M04_420C020Y_STR,6.63575,/dt05_str_real/M04_420C020Y_STR.wav,THIS RETAILER SAID IT OFFERED FOR SALE TWO HUNDRED MILLION DOLLARS IN NOTES DUE AUGUST FIRST NINETEEN NINETY SIX
M04_22HC010T_STR,5.23175,/dt05_str_real/M04_22HC010T_STR.wav,WORST OF ALL HE SAYS SOMEBODY MIGHT HAVE BOUGHT THE COMPANY WITH THE INTENTION OF BREAKING IT UP
F01_421C020E_STR,6.99975,/dt05_str_real/F01_421C020E_STR.wav,AND PENNZOIL COMPANY'S NET INCOME TUMBLED SEVENTY ONE PERCENT LARGELY FROM A ONE TIME CHARGE
M04_051C010E_STR,3.843875,/dt05_str_real/M04_051C010E_STR.wav,FOR THE KOREAN ECONOMY HE FAVORS FREE TRADE
M03_421C0210_STR,7.6836875,/dt05_str_real/M03_421C0210_STR.wav,BUT HE OFFERED THE OPINION THAT ROBERT WADE THE UNIT'S CHIEF AND HALF A DOZEN OTHER SENIOR PEOPLE WILL GO WITH U. S. F. AND G.
F04_050C0113_STR,5.9559375,/dt05_str_real/F04_050C0113_STR.wav,SOLVE THE RIDDLE OF POVERTY WE HAVE OFTEN SEEMED TO HOPE AND THE REST OF OUR PROBLEMS WILL SOLVE THEMSELVES
F04_423C0216_STR,5.8511875,/dt05_str_real/F04_423C0216_STR.wav,SUCH A RULE CHANGE EFFECTIVELY WOULD REMOVE ONE TECHNICALITY THAT COULD SLOW A TAKEOVER ATTEMPT
F04_053C010T_STR,8.31575,/dt05_str_real/F04_053C010T_STR.wav,INSTITUTIONAL INVESTORS FUELED THE RISE BY SHIFTING ASSETS TO THE FUNDS IN RESPONSE TO DECLINING RATES AVAILABLE ON SHORT TERM SECURITIES IN THE MARKET
F01_050C0107_STR,8.75925,/dt05_str_real/F01_050C0107_STR.wav,THE PARENT COMPANY ADDED THAT IT MAY SEEK OTHER BUSINESS OPPORTUNITIES SUBJECT TO THE AVAILABILITY OF FINANCING WHICH MAY NOT BE AVAILABLE
F01_422C020W_STR,8.00775,/dt05_str_real/F01_422C020W_STR.wav,ITS DECLINE WAS APPARENTLY SPLIT BY FORD CHRYSLER AND HONDA MOTOR COMPANY WHOSE MARKET SHARES EACH GREW ONE POINT ONE PERCENT
F01_052C010T_STR,6.2718125,/dt05_str_real/F01_052C010T_STR.wav,MR. BARRETT SAYS HE PAID ONE HUNDRED SEVENTY FIVE THOUSAND DOLLARS FOR THE ROLLS ONLY SIX MONTHS AGO
M03_22GC0107_STR,4.955875,/dt05_str_real/M03_22GC0107_STR.wav,CONGRESS AND THE ADMINISTRATION HAVE BEGUN TO TAKE THE RIGHT STEPS TO IMPROVE THE CREDIT BUDGET
M03_22HC010V_STR,6.6279375,/dt05_str_real/M03_22HC010V_STR.wav,VOLUME ROSE TO AN ESTIMATED ONE BILLION SHARES FROM AN ESTIMATED SEVEN HUNDRED FIFTY MILLION SHARES ON THURSDAY
M04_053C010U_STR,7.4636875,/dt05_str_real/M04_053C010U_STR.wav,ALSO INDIVIDUAL INVESTORS' CONCERN OVER VOLATILITY IN FINANCIAL MARKETS MAY HAVE CONTRIBUTED TO THE INCREASE SHE SAID
M04_22HC0114_STR,3.16,/dt05_str_real/M04_22HC0114_STR.wav,IT MIGHT BE A YEAR OR MORE BEFORE WE GET PAID
M03_050C010R_STR,7.396,/dt05_str_real/M03_050C010R_STR.wav,THE MANAGEMENT COMMITTEE'S PLAN FOR THE NEW GOVERNING BODY CAN TAKE EFFECT IF APPROVED BY SEVENTY FIVE PERCENT OF THE EXCHANGE'S MEMBERS
F01_420C020S_STR,6.0715,/dt05_str_real/F01_420C020S_STR.wav,WE BELIEVE PROGRAM TRADING IS IMPORTANT AS A SOURCE OF LIQUIDITY MORGAN STANLEY SAID
M04_053C010S_STR,5.1438125,/dt05_str_real/M04_053C010S_STR.wav,SUCH ACTIVITY HAS ALL BUT ENDED SINCE STOCK PRICES PLUNGED THE ANALYSTS SAY
M03_421C020U_STR,4.1718125,/dt05_str_real/M03_421C020U_STR.wav,STOCKS FELL IN NERVOUS TRADING WHILE BONDS WERE NARROWLY MIXED
F04_052C0111_STR,5.71575,/dt05_str_real/F04_052C0111_STR.wav,AND MORE THAN THAT HE IS A CENTRAL FIGURE IN THE SECURITIES INDUSTRY'S INSIDER TRADING SCANDAL
M04_421C0212_STR,3.6480625,/dt05_str_real/M04_421C0212_STR.wav,CRITICS SAY THE FEDERAL APPROACH IS WRONG FROM THE START
M03_050C0116_STR,2.56425,/dt05_str_real/M03_050C0116_STR.wav,I PREFER NOT TO SAY ANYTHING MORE THAN THAT
M03_22HC010M_STR,5.02825,/dt05_str_real/M03_22HC010M_STR.wav,U. S. ANALYSTS AREN'T CERTAIN WHETHER THE SOVIETS AND CHINA WILL SUPPORT THE EMBARGO RESOLUTION
M04_050C0104_STR,6.4676875,/dt05_str_real/M04_050C0104_STR.wav,MINING EMPLOYMENT WHICH INCLUDES THE OIL AND GAS EXTRACTION INDUSTRY ROSE THREE THOUSAND AFTER A ONE THOUSAND JOB RISE
F01_051C010I_STR,8.0798125,/dt05_str_real/F01_051C010I_STR.wav,YESTERDAY'S ACTION DIDN'T AFFECT A FOURTH L. T. V. PLAN THE PENSION AGENCY TOOK OVER IN SEPTEMBER NINETEEN EIGHTY SIX
F04_051C010S_STR,7.187625,/dt05_str_real/F04_051C010S_STR.wav,CONSUMER PRICES ROSE ONE POINT SIX PERCENT IN FEBRUARY THE HIGHEST MONTHLY INCREASE SINCE MID NINETEEN EIGHTY ONE
M03_22HC010Z_STR,2.051875,/dt05_str_real/M03_22HC010Z_STR.wav,OUR CUSTOMERS WANT THEM
M04_420C020L_STR,5.5116875,/dt05_str_real/M04_420C020L_STR.wav,A DROP IN OIL PRICES COULD ALSO PROVIDE SOME PRICE RELIEF AS IT DID IN NINETEEN EIGHTY SIX
F04_053C0113_STR,2.4201875,/dt05_str_real/F04_053C0113_STR.wav,THESE POWERS ARE IMPORTANT TO US
F01_22HC010K_STR,6.6240625,/dt05_str_real/F01_22HC010K_STR.wav,COMMON SHARES THAT AREN'T PURCHASED WILL BE EXCHANGED FOR THE COMBINATION OF NEW PREFERRED AND CASH
